hour,processes,electromobility,heating,occupancy,servers,hot_water,cooling,lighting,appliances
Weekday_00,0.0,0.0,SETBACK,1.0,0.0,0.08,SETBACK,0.1,0.1
Weekday_01,0.0,0.0,SETBACK,1.0,0.0,0.04,SETBACK,0.1,0.1
Weekday_02,0.0,0.0,SETBACK,1.0,0.0,0.01,SETBACK,0.1,0.1
Weekday_03,0.0,0.0,SETBACK,1.0,0.0,0.01,SETBACK,0.1,0.1
Weekday_04,0.0,0.0,SETBACK,1.0,0.0,0.02,SETBACK,0.1,0.1
Weekday_05,0.0,0.0,SETBACK,1.0,0.0,0.38,SETBACK,0.2,0.2
Weekday_06,0.0,0.0,SETPOINT,0.6,0.0,1.0,SETPOINT,0.8,0.8
Weekday_07,0.0,0.0,SETPOINT,0.4,0.0,0.81,SETPOINT,0.2,0.2
Weekday_08,0.0,0.0,SETPOINT,0.0,0.0,0.67,SETPOINT,0.1,0.1
Weekday_09,0.0,0.0,SETPOINT,0.0,0.0,0.51,SETPOINT,0.1,0.1
Weekday_10,0.0,0.0,SETPOINT,0.0,0.0,0.45,SETPOINT,0.1,0.1
Weekday_11,0.0,0.0,SETPOINT,0.0,0.0,0.42,SETPOINT,0.1,0.1
Weekday_12,0.0,0.0,SETPOINT,0.8,0.0,0.63,SETPOINT,0.8,0.8
Weekday_13,0.0,0.0,SETPOINT,0.4,0.0,0.56,SETPOINT,0.2,0.2
Weekday_14,0.0,0.0,SETPOINT,0.0,0.0,0.32,SETPOINT,0.1,0.1
Weekday_15,0.0,0.0,SETPOINT,0.0,0.0,0.28,SETPOINT,0.1,0.1
Weekday_16,0.0,0.0,SETPOINT,0.0,0.0,0.32,SETPOINT,0.1,0.1
Weekday_17,0.0,0.0,SETPOINT,0.4,0.0,0.56,SETPOINT,0.2,0.2
Weekday_18,0.0,0.0,SETPOINT,0.8,0.0,0.79,SETPOINT,0.8,0.8
Weekday_19,0.0,0.0,SETPOINT,0.8,0.0,0.8,SETPOINT,1.0,1.0
Weekday_20,0.0,0.0,SETPOINT,0.8,0.0,0.62,SETPOINT,0.2,0.2
Weekday_21,0.0,0.0,SETBACK,1.0,0.0,0.45,SETBACK,0.2,0.2
Weekday_22,0.0,0.0,SETBACK,1.0,0.0,0.25,SETBACK,0.2,0.2
Weekday_23,0.0,0.0,SETBACK,1.0,0.0,0.19,SETBACK,0.1,0.1
Saturday_00,0.0,0.0,SETBACK,1.0,0.0,0.09,SETBACK,0.1,0.1
Saturday_01,0.0,0.0,SETBACK,1.0,0.0,0.1,SETBACK,0.1,0.1
Saturday_02,0.0,0.0,SETBACK,1.0,0.0,0.06,SETBACK,0.1,0.1
Saturday_03,0.0,0.0,SETBACK,1.0,0.0,0.02,SETBACK,0.1,0.1
Saturday_04,0.0,0.0,SETBACK,1.0,0.0,0.02,SETBACK,0.1,0.1
Saturday_05,0.0,0.0,SETBACK,1.0,0.0,0.12,SETBACK,0.2,0.2
