hour,processes,electromobility,heating,occupancy,servers,hot_water,cooling,lighting,appliances
Weekday_00,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Weekday_01,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Weekday_02,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Weekday_03,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Weekday_04,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Weekday_05,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Weekday_06,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Weekday_07,0,0,SETBACK,0.0,0,0.0,OFF,0.16,0.17
Weekday_08,0,0,SETPOINT,0.23,0,0.23,SETPOINT,0.4,0.4
Weekday_09,0,0,SETPOINT,0.23,0,0.23,SETPOINT,0.53,0.53
Weekday_10,0,0,SETPOINT,0.23,0,0.23,SETPOINT,0.65,0.67
Weekday_11,0,0,SETPOINT,0.6,0,0.6,SETPOINT,0.73,0.73
Weekday_12,0,0,SETPOINT,1.0,0,1.0,SETPOINT,0.62,0.6
Weekday_13,0,0,SETPOINT,0.6,0,0.6,SETPOINT,0.75,0.73
Weekday_14,0,0,SETBACK,0.0,0,0.0,SETPOINT,0.54,0.57
Weekday_15,0,0,SETBACK,0.0,0,0.0,SETPOINT,0.54,0.57
Weekday_16,0,0,SETBACK,0.0,0,0.0,SETPOINT,0.29,0.3
Weekday_17,0,0,SETBACK,0.0,0,0.0,SETPOINT,0.16,0.17
Weekday_18,0,0,SETPOINT,0.2,0,0.2,SETPOINT,0.21,0.2
Weekday_19,0,0,SETPOINT,0.2,0,0.2,SETPOINT,0.21,0.2
Weekday_20,0,0,SETPOINT,0.6,0,0.6,SETPOINT,0.29,0.27
Weekday_21,0,0,SETPOINT,1.0,0,1.0,SETPOINT,0.44,0.4
Weekday_22,0,0,SETPOINT,0.2,0,0.2,SETPOINT,0.36,0.33
Weekday_23,0,0,SETPOINT,0.2,0,0.2,SETPOINT,0.21,0.2
Saturday_00,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Saturday_01,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Saturday_02,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Saturday_03,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Saturday_04,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Saturday_05,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Saturday_06,0,0,SETBACK,0.0,0,0.0,OFF,0.1,0.1
Saturday_07,0,0,SETBACK,0.0,0,0.0,OFF,0.16,0.17
Saturday_08,0,0,SETPOINT,0.23,0,0.23,SETPOINT,0.4,0.4
Saturday_09,0,0,SETPOINT,0.23,0,0.23,SETPOINT,0.53,0.53
Saturday_10,0,0,SETPOINT,0.23,0,0.23,SETPOINT,0.65,0.67
Saturday_11,0,0,SETPOINT,0.6,0,0.6,SETPOINT,0.73,0.73
Saturday_12,0,0,SETPOINT,1.0,0,1.0,SETPOINT,0.62,0.6
Saturday_13,0,0,SETPOINT,0.6,0,0.6,SETPOINT,0.75,0.73
Saturday_14,0,0,SETBACK,0.0,0,0.0,SETPOINT,0.54,0.57
Saturday_15,0,0,SETBACK,0.0,0,0.0,SETPOINT,0.54,0.57
Saturday_16,0,0,SETBACK,0.0,0,0.0,SETPOINT,0.29,0.3
Saturday_17,0,0,SETBACK,0.0,0,0.0,SETPOINT,0.16,0.17
Saturday_18,0,0,SETPOINT,0.2,0,0.2,SETPOINT,0.21,0.2
Saturday_19,0,0,SETPOINT,0.2,0,0.2,SETPOINT,0.21,0.2
Saturday_20,0,0,SETPOINT,0.6,0,0.6,SETPOINT,0.29,0.27
Saturday_21,0,0,SETPOINT,1.0,0,1.0,SETPOINT,0.44,0.4
Saturday_22,0,0,SETPOINT,0.2,0,0.2,SETPOINT,0.36,0.33
Saturday_23,0,0,SETPOINT,0.2,0,0.2,SETPOINT,0.21,0.2
Sunday_00,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_01,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_02,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_03,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_04,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_05,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_06,0,0,OFF,0.0,0,0.0,OFF,0.1,0.1
Sunday_07,0,0,OFF,0.0,0,0.0,OFF,0.16,0.17
Sunday_08,0,0,OFF,0.0,0,0.0,OFF,0.29,0.3
