NODE0,NODE1,NODE2,NODE3,NODE4,NODE5,NODE6,NODE7,NODE8,NODE9,NODE10,NODE11,NODE12,NODE13,NODE14,NODE15,NODE16,NODE17,NODE18,NODE19,NODE20,NODE21,NODE22,NODE23,NODE24,NODE25,NODE26,NODE27,NODE28,NODE29,NODE30,NODE31,NODE32,NODE33,NODE34,NODE35,NODE36,NODE37,NODE38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016009523
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016003227
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016006934
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016003273
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016002545
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012995565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012997627
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01600193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016004222
0.0,2.3500037,2.3909976,0.0,0.0,0.0,0.0,0.0,0.0,1.7680005,1.1770014,0.0,0.0,0.0,0.0,2.317996,0.0,5.4799905,0.0,0.0,0.0,2.0630038,0.0,0.0,0.0,1.6520022,1.7090002,1.4609973,0.0,0.0,0.0,1.6420008,0.0,0.0,0.0,0.0,0.0,1.7100023,25.720997
0.0,1.8769965,1.9349993,0.0,0.0,0.0,0.0,0.0,0.0,1.4380019,1.0289985,0.0,0.0,0.80700135,0.0,1.8409989,0.0,4.2189965,0.0,0.0,0.0,1.6560013,0.0,0.0,0.0,1.3499974,1.3960009,1.2009995,0.0,0.0,0.0,1.2959989,0.0,0.0,0.0,0.0,0.0,1.397003,21.441994
0.0,1.6339993,1.6989998,0.0,0.0,0.0,0.0,0.0,0.0,1.2660033,0.9130014,0.0,0.0,0.5670013,0.0,1.6030043,0.0,3.537998,0.0,0.0,0.0,1.4480017,0.0,0.0,0.0,1.1929973,1.2299997,1.0259966,0.0,0.0,0.0,1.1020008,0.0,0.0,0.0,0.0,0.0,1.2310016,18.450006
0.0,1.3260039,1.3989983,0.0,0.0,0.0,0.0,0.0,0.0,1.0480012,0.7410017,0.0,0.0,0.5399989,0.0,1.2929987,0.0,2.8030071,0.0,0.0,0.0,1.1819991,0.0,0.0,0.0,0.9940004,1.0220015,0.7620031,0.0,0.0,0.0,0.8949981,0.0,0.0,0.0,0.0,0.0,1.0239996,15.029012
0.0,1.3200036,1.3859999,0.0,0.0,0.0,0.0,0.0,0.0,1.0410017,0.6420012,0.0,0.0,1.0399988,0.0,1.2849975,0.0,2.672991,0.0,0.0,0.0,1.1730026,0.0,0.0,0.0,0.98300123,1.0089985,0.676,0.0,0.0,0.0,0.8440018,0.0,0.0,0.0,0.0,0.0,1.0119989,15.083997
0.0,1.4580007,1.5089976,0.0,0.0,0.0,0.0,0.0,0.0,1.1229972,0.59099865,0.0,0.0,1.5689989,0.0,1.4249967,0.0,2.853007,0.0,0.0,0.0,1.2879993,0.0,0.0,0.0,1.0569985,1.0879999,0.65600234,0.0,0.0,0.0,0.8770003,0.0,0.0,0.0,0.0,0.0,1.089998,16.583994
0.0,1.2370044,1.2939967,0.0,0.0,0.0,0.0,0.0,0.0,0.9670009,0.5219996,0.0,0.0,0.9550013,0.0,1.2040038,0.0,2.3429954,0.0,0.0,0.0,1.0980005,0.0,0.0,0.0,0.9130026,0.9399998,0.5379953,0.0,0.0,0.0,0.739002,0.0,0.0,0.0,0.0,0.0,0.94100195,13.691005
