date,pressure_loss_supply_kW,pressure_loss_return_kW,pressure_loss_substations_kW,pressure_loss_total_kW
2009-01-01 00:00:00,0.01763435,0.01763435,0.03156857,0.066837266
2009-01-01 01:00:00,0.017620271,0.017620271,0.03155962,0.06680016
2009-01-01 02:00:00,0.01763435,0.01763435,0.03156857,0.066837266
2009-01-01 03:00:00,0.01763435,0.01763435,0.03156857,0.066837266
2009-01-01 04:00:00,0.017620273,0.017620273,0.03155962,0.06680016
2009-01-01 05:00:00,0.017620271,0.017620271,0.03155962,0.06680016
2009-01-01 06:00:00,0.017620273,0.017620273,0.03155962,0.06680016
2009-01-01 07:00:00,0.01763435,0.01763435,0.03156857,0.066837266
2009-01-01 08:00:00,0.01763435,0.01763435,0.03156857,0.066837266
2009-01-01 09:00:00,0.01763435,0.01763435,0.03156857,0.066837266
2009-01-01 10:00:00,0.01763435,0.01763435,0.03156857,0.066837266
2009-01-01 11:00:00,0.01764845,0.01764845,0.031576365,0.06687327
2009-01-01 12:00:00,0.01764845,0.01764845,0.031576365,0.06687327
2009-01-01 13:00:00,0.01764845,0.01764845,0.031576365,0.06687327
2009-01-01 14:00:00,0.01764845,0.01764845,0.031576365,0.06687327
2009-01-01 15:00:00,0.017662546,0.017662546,0.031584155,0.066909246
2009-01-01 16:00:00,0.017662546,0.017662546,0.031584155,0.066909246
2009-01-01 17:00:00,0.01764845,0.01764845,0.031576365,0.06687327
2009-01-01 18:00:00,0.01763435,0.01763435,0.03156857,0.066837266
2009-01-01 19:00:00,0.01763435,0.01763435,0.03156857,0.066837266
2009-01-01 20:00:00,0.01763435,0.01763435,0.03156857,0.066837266
2009-01-01 21:00:00,0.017620271,0.017620271,0.03155962,0.06680016
2009-01-01 22:00:00,0.017620271,0.017620271,0.03155962,0.06680016
2009-01-01 23:00:00,0.017620271,0.017620271,0.03155962,0.06680016
2009-01-02 00:00:00,0.017620271,0.017620271,0.03155962,0.06680016
2009-01-02 01:00:00,0.017606195,0.017606195,0.03155182,0.066764206
2009-01-02 02:00:00,0.017592119,0.017592119,0.03154288,0.06672712
2009-01-02 03:00:00,0.017592125,0.017592125,0.031542875,0.066727124
2009-01-02 04:00:00,0.017592125,0.017592125,0.031542875,0.066727124
2009-01-02 05:00:00,0.017592125,0.017592125,0.031542875,0.066727124
2009-01-02 06:00:00,0.017592125,0.017592125,0.031542875,0.066727124
2009-01-02 07:00:00,0.017592125,0.017592125,0.031542875,0.066727124
2009-01-02 08:00:00,0.017592125,0.017592125,0.031542875,0.066727124
2009-01-02 09:00:00,0.01757807,0.01757807,0.031535074,0.06669121
2009-01-02 10:00:00,0.01757807,0.01757807,0.031535074,0.06669121
2009-01-02 11:00:00,0.01757807,0.01757807,0.031535074,0.06669121
2009-01-02 12:00:00,0.017592119,0.017592119,0.03154288,0.06672712
2009-01-02 13:00:00,0.017592125,0.017592125,0.031542875,0.066727124
2009-01-02 14:00:00,0.017592125,0.017592125,0.031542875,0.066727124
2009-01-02 15:00:00,0.017592125,0.017592125,0.031542875,0.066727124
2009-01-02 16:00:00,0.01757807,0.01757807,0.031535074,0.06669121
2009-01-02 17:00:00,0.017564008,0.017564008,0.031527277,0.06665529
2009-01-02 18:00:00,0.017564014,0.017564014,0.031527277,0.06665531
2009-01-02 19:00:00,0.017549956,0.017549956,0.03151833,0.06661824
2009-01-02 20:00:00,0.017549958,0.017549958,0.031518325,0.06661824
2009-01-02 21:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-02 22:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-02 23:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-03 00:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 01:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 02:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 03:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 04:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 05:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 06:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 07:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 08:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 09:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-03 10:00:00,0.017549956,0.017549956,0.03151833,0.06661824
2009-01-03 11:00:00,0.017564008,0.017564008,0.031527277,0.06665529
2009-01-03 12:00:00,0.01757807,0.01757807,0.031535074,0.06669121
2009-01-03 13:00:00,0.01757807,0.01757807,0.031535074,0.06669121
2009-01-03 14:00:00,0.017592119,0.017592119,0.03154288,0.06672712
2009-01-03 15:00:00,0.01757807,0.01757807,0.031535074,0.06669121
2009-01-03 16:00:00,0.017564008,0.017564008,0.031527277,0.06665529
2009-01-03 17:00:00,0.017549956,0.017549956,0.03151833,0.06661824
2009-01-03 18:00:00,0.017549958,0.017549958,0.031518325,0.06661824
2009-01-03 19:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-03 20:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-03 21:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 22:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-03 23:00:00,0.017507857,0.017507857,0.031493764,0.06650948
2009-01-04 00:00:00,0.017507857,0.017507857,0.031493764,0.06650948
2009-01-04 01:00:00,0.017507857,0.017507857,0.031493764,0.06650948
2009-01-04 02:00:00,0.017507857,0.017507857,0.031493764,0.06650948
2009-01-04 03:00:00,0.017521888,0.017521888,0.03150157,0.066545345
2009-01-04 04:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-04 05:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-04 06:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-04 07:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-04 08:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-04 09:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-04 10:00:00,0.017535921,0.017535921,0.03151052,0.06658237
2009-01-04 11:00:00,0.017549956,0.017549956,0.03151833,0.06661824
2009-01-04 12:00:00,0.017549958,0.017549958,0.031518325,0.06661824
2009-01-04 13:00:00,0.017549958,0.017549958,0.031518325,0.06661824
2009-01-04 14:00:00,0.017549958,0.017549958,0.031518325,0.06661824
2009-01-04 15:00:00,0.017549958,0.017549958,0.031518325,0.06661824
2009-01-04 16:00:00,0.017549958,0.017549958,0.031518325,0.06661824
2009-01-04 17:00:00,0.017549958,0.017549958,0.031518325,0.06661824
