temperature_supply_K,temperature_return_K
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
328.7142857142857,319.8676666666666
333.35714285714283,317.99438461538466
333.35714285714283,316.58661538461536
333.35714285714283,315.4346923076923
333.35714285714283,315.2780769230769
333.35714285714283,315.8866923076922
333.35714285714283,314.87423076923085
328.7142857142857,313.85583333333335
328.7142857142857,314.1644166666667
328.7142857142857,314.58775
328.7142857142857,315.89466666666664
286.92857142857144,311.27799999999996
286.92857142857144,309.77500000000003
286.92857142857144,307.38733333333334
286.92857142857144,306.5496666666667
286.92857142857144,308.66533333333336
286.92857142857144,308.56333333333333
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
328.7142857142857,319.7993333333333
333.35714285714283,318.24323076923076
333.35714285714283,317.1809230769231
333.35714285714283,316.12
333.35714285714283,316.13438461538465
333.35714285714283,316.69176923076924
333.35714285714283,315.72338461538465
328.7142857142857,315.00300000000004
328.7142857142857,315.3310833333333
328.7142857142857,315.79608333333334
328.7142857142857,316.8999166666667
286.92857142857144,312.83233333333334
286.92857142857144,311.384
286.92857142857144,310.564
286.92857142857144,310.9853333333333
286.92857142857144,310.43233333333336
286.92857142857144,310.38166666666666
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
277.64285714285717,319.024
277.64285714285717,313.698
277.64285714285717,312.704
277.64285714285717,312.147
277.64285714285717,312.49
277.64285714285717,309.634
273.0,
273.0,
273.0,
273.0,
282.33178571428573,320.72950000000003
282.2857142857143,318.2275
282.2863571428571,317.464
282.59842857142854,319.0145
282.2857142857143,316.673
282.2857142857143,316.65999999999997
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
286.319,297.80060000000003
286.252,297.6252
286.18035714285713,297.43819999999994
286.13399999999996,297.3164
286.0809285714286,297.1778
286.0339285714286,297.0548
285.987,296.9326
335.65364285714287,329.2020769230769
336.1664285714286,329.72961538461544
333.91928571428576,327.5272307692308
333.35714285714283,326.0644615384616
333.35714285714283,325.47030769230764
333.76564285714284,325.40984615384616
333.35714285714283,324.14061538461533
330.9459285714286,321.41499999999996
330.94635714285715,321.10138461538463
330.944,320.83846153846156
330.938,321.0651538461538
287.5475,317.7993333333333
287.2993571428571,315.282
287.3837142857143,314.17766666666665
287.6287857142857,314.08233333333334
286.92857142857144,313.2946666666666
286.92857142857144,313.027
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
328.7142857142857,325.6823333333333
333.35714285714283,324.1385384615384
333.35714285714283,322.7756923076923
333.35714285714283,321.6614615384615
333.35714285714283,321.2883846153846
333.35714285714283,321.4813846153846
333.35714285714283,320.35223076923074
330.47621428571426,317.5330769230769
330.4989285714286,317.46892307692303
330.5311428571428,317.51192307692315
330.54942857142856,318.07053846153843
287.2837857142857,315.74500000000006
287.0529285714286,313.53400000000005
287.13849999999996,312.31266666666664
287.23028571428574,312.4306666666667
286.92857142857144,312.392
286.92857142857144,312.18733333333336
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
328.7142857142857,324.0568333333333
333.35714285714283,322.55892307692307
333.35714285714283,321.1686923076923
333.35714285714283,319.8999230769231
333.35714285714283,319.3278461538461
333.35714285714283,319.6728461538461
333.35714285714283,318.7555384615384
330.22428571428566,315.7323846153846
330.27349999999996,315.8551538461539
330.3192142857143,316.00892307692305
330.35985714285715,316.76007692307695
287.18014285714287,314.96866666666665
286.94721428571427,312.84066666666666
287.05735714285714,311.86266666666666
287.1277857142857,311.715
286.92857142857144,311.47766666666666
286.92857142857144,311.2476666666667
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
328.7142857142857,322.43050000000005
333.35714285714283,320.90269230769223
333.35714285714283,319.6021538461538
333.35714285714283,318.5862307692308
333.35714285714283,318.4222307692308
333.35714285714283,318.9273076923077
333.35714285714283,317.9945384615384
330.0655,314.91499999999996
330.1307857142857,315.08715384615385
330.18764285714286,315.26953846153845
330.2292857142857,316.04123076923076
287.0985,314.43066666666664
286.92857142857144,312.42133333333334
286.95392857142855,311.10366666666664
287.027,310.939
286.92857142857144,311.03266666666667
286.92857142857144,310.865
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
328.7142857142857,322.17766666666665
333.35714285714283,320.84700000000004
333.35714285714283,319.6014615384615
333.35714285714283,318.6157692307692
333.35714285714283,318.53830769230774
333.36650000000003,319.1463076923077
333.35714285714283,318.1066923076923
330.12007142857146,315.0785384615384
330.1797142857143,315.2526153846154
330.24307142857145,315.45876923076924
330.28357142857146,316.1884615384615
287.1345,314.77733333333333
286.92857142857144,312.729
287.02335714285715,311.8636666666667
287.12385714285716,312.0706666666667
286.92857142857144,311.40066666666667
286.92857142857144,311.25600000000003
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
277.64285714285717,320.01
277.64285714285717,314.803
277.64285714285717,314.341
277.64285714285717,314.222
277.64285714285717,315.931
277.64285714285717,312.258
274.41242857142856,287.578
274.46500000000003,288.249
274.52085714285715,288.961
274.56142857142856,289.476
282.48464285714283,322.0245
282.2857142857143,318.9305
282.3617857142857,317.413
282.46171428571427,317.6465
282.2857142857143,317.0745
282.2857142857143,316.842
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
286.35942857142857,297.90520000000004
286.28992857142856,297.7228
286.2222857142857,297.54560000000004
286.15964285714284,297.3816
286.0990714285714,297.2234
286.0453571428571,297.08340000000004
285.9735,296.89700000000005
336.3919285714286,329.79838461538463
336.7458571428571,330.1940769230769
334.44800000000004,327.9369230769231
333.35714285714283,326.31569230769225
333.35714285714283,325.6706923076923
333.5747857142857,325.53646153846154
333.35714285714283,324.29546153846155
331.00457142857147,321.7006153846154
330.9997857142857,321.37484615384614
330.9944285714286,321.10684615384616
330.9812142857143,321.3105384615385
287.5691428571428,317.88433333333336
287.3260714285714,315.3603333333333
287.37771428571426,313.847
287.46999999999997,313.503
286.96207142857145,313.4773333333333
286.92857142857144,313.17
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
328.7142857142857,325.8833333333333
333.35714285714283,324.30499999999995
333.35714285714283,322.7767692307692
333.35714285714283,321.69576923076926
333.35714285714283,321.20346153846157
333.35714285714283,321.30553846153845
333.35714285714283,320.12492307692315
330.44942857142854,317.34992307692306
330.48228571428575,317.369076923077
330.51085714285716,317.4015384615385
330.5190714285714,317.94138461538466
287.24735714285714,315.399
287.0045,313.06666666666666
287.03214285714284,311.14
287.03285714285715,310.15566666666666
286.92857142857144,311.353
286.92857142857144,311.1503333333333
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
328.7142857142857,322.8934166666666
333.35714285714283,321.20438461538464
333.35714285714283,319.8546923076923
333.35714285714283,318.86530769230774
333.35714285714283,318.5983846153846
333.35714285714283,318.99600000000004
333.35714285714283,318.0199230769231
330.0335,314.95238461538463
330.0890714285714,315.0517692307692
330.1512142857143,315.2867692307692
330.18935714285715,316.0779999999999
287.07185714285714,314.09999999999997
286.92857142857144,311.998
286.92857142857144,309.8413333333333
286.92857142857144,308.80899999999997
286.92857142857144,310.50500000000005
286.92857142857144,310.35833333333335
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
328.7142857142857,321.4080833333333
333.35714285714283,319.80692307692306
333.35714285714283,318.51507692307683
333.35714285714283,317.54315384615387
333.35714285714283,317.38399999999996
333.35714285714283,317.8822307692308
333.35714285714283,316.9115384615385
328.7142857142857,316.0651666666667
328.7142857142857,316.14724999999993
328.7142857142857,316.46608333333336
328.7142857142857,317.4603333333334
286.93942857142855,313.176
286.92857142857144,311.358
286.92857142857144,309.296
286.92857142857144,308.37899999999996
286.92857142857144,309.955
286.92857142857144,309.8926666666667
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
277.64285714285717,299.976
328.7142857142857,321.0125
333.35714285714283,319.4743076923077
333.35714285714283,318.17992307692305
333.35714285714283,317.23707692307687
333.35714285714283,317.1887692307692
333.35714285714283,317.74161538461533
333.35714285714283,316.95892307692304
328.7142857142857,316.09766666666667
328.7142857142857,316.1766666666667
328.7142857142857,316.45183333333335
329.94214285714287,314.98907692307694
286.9623571428571,313.49399999999997
286.92857142857144,311.62066666666664
286.92857142857144,309.694
286.92857142857144,308.738
286.92857142857144,310.15166666666664
286.92857142857144,309.92133333333334
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
277.64285714285717,315.832
277.64285714285717,310.639
277.64285714285717,309.783
277.64285714285717,305.527
277.64285714285717,302.93
277.64285714285717,303.393
273.0,
273.0,
273.0,
273.0,
282.2857142857143,317.59950000000003
282.2857142857143,315.08349999999996
282.2857142857143,311.209
282.2857142857143,308.9465
282.2857142857143,313.1635
282.2857142857143,313.328
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
273.0,
280.8412857142857,293.29133333333334
282.1980714285714,291.67999999999995
282.3802857142857,292.267
282.5232142857143,292.724
282.6129285714286,293.00975
282.6952857142857,293.27149999999995
282.7649285714286,293.49275
