NODE0,NODE1,NODE2,NODE3,NODE4,NODE5,NODE6,NODE7,NODE8,NODE9,NODE10,NODE11,NODE12,NODE13,NODE14,NODE15,NODE16,NODE17,NODE18,NODE19,NODE20,NODE21,NODE22,NODE23,NODE24,NODE25,NODE26,NODE27,NODE28,NODE29,NODE30,NODE31,NODE32,NODE33,NODE34,NODE35,NODE36,NODE37,NODE38
8497.86,2401.861,2401.861,8497.86,8497.86,8497.86,8497.86,8497.86,8497.86,2401.861,962.12756,8497.86,8497.86,2401.861,8497.86,2401.861,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,2401.861,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,248490.08
8497.091,2401.0916,2401.0916,8497.091,8497.091,8497.091,8497.091,8497.091,8497.091,2401.0916,962.10443,8497.091,8497.091,2401.0916,8497.091,2401.0916,8497.091,2401.0916,8497.091,8497.091,8497.091,2401.0916,8497.091,8497.091,8497.091,2401.0916,2401.0916,2401.0916,8497.091,8497.091,8497.091,2401.0916,8497.091,8497.091,2401.0916,8497.091,8497.091,2401.0916,248490.86
8497.86,2401.861,2401.861,8497.86,8497.86,8497.86,8497.86,8497.86,8497.86,2401.861,962.12756,8497.86,8497.86,2401.861,8497.86,2401.861,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,2401.861,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,248490.08
8497.86,2401.861,2401.861,8497.86,8497.86,8497.86,8497.86,8497.86,8497.86,2401.861,962.12756,8497.86,8497.86,2401.861,8497.86,2401.861,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,2401.861,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,248490.08
8497.091,2401.0916,2401.0916,8497.091,8497.091,8497.091,8497.091,8497.091,8497.091,2401.0916,962.10443,8497.091,8497.091,2401.0916,8497.091,2401.0916,8497.091,2401.0916,8497.091,8497.091,8497.091,2401.0916,8497.091,8497.091,8497.091,2401.0916,2401.0916,2401.0916,8497.091,8497.091,8497.091,2401.0916,8497.091,8497.091,2401.0916,8497.091,8497.091,2401.0916,248490.86
8497.091,2401.0916,2401.0916,8497.091,8497.091,8497.091,8497.091,8497.091,8497.091,2401.0916,962.10443,8497.091,8497.091,2401.0916,8497.091,2401.0916,8497.091,2401.0916,8497.091,8497.091,8497.091,2401.0916,8497.091,8497.091,8497.091,2401.0916,2401.0916,2401.0916,8497.091,8497.091,8497.091,2401.0916,8497.091,8497.091,2401.0916,8497.091,8497.091,2401.0916,248490.86
8497.091,2401.0916,2401.0916,8497.091,8497.091,8497.091,8497.091,8497.091,8497.091,2401.0916,962.10443,8497.091,8497.091,2401.0916,8497.091,2401.0916,8497.091,2401.0916,8497.091,8497.091,8497.091,2401.0916,8497.091,8497.091,8497.091,2401.0916,2401.0916,2401.0916,8497.091,8497.091,8497.091,2401.0916,8497.091,8497.091,2401.0916,8497.091,8497.091,2401.0916,248490.86
8497.86,2401.861,2401.861,8497.86,8497.86,8497.86,8497.86,8497.86,8497.86,2401.861,962.12756,8497.86,8497.86,2401.861,8497.86,2401.861,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,2401.861,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,248490.08
8497.86,2401.861,2401.861,8497.86,8497.86,8497.86,8497.86,8497.86,8497.86,2401.861,962.12756,8497.86,8497.86,2401.861,8497.86,2401.861,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,2401.861,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,248490.08
8497.86,2401.861,2401.861,8497.86,8497.86,8497.86,8497.86,8497.86,8497.86,2401.861,962.12756,8497.86,8497.86,2401.861,8497.86,2401.861,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,8497.86,2401.861,2401.861,2401.861,8497.86,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,8497.86,8497.86,2401.861,248490.08
