pressure_loss_supply_Pa,pressure_loss_return_Pa,pressure_loss_substations_Pa,pressure_loss_total_Pa
0.12590133,0.12590133,102042.02,102042.27
0.12590133,0.12590133,102042.02,102042.27
0.12590133,0.12590133,102042.02,102042.27
0.12590133,0.12590133,102042.02,102042.27
0.12590133,0.12590133,102042.02,102042.27
0.08314239,0.08314239,102042.04,102042.2
0.12352583,0.12352583,102042.02,102042.27
60653.207,60653.207,317924.25,439230.66
49945.47,49945.47,280779.2,380670.12
36758.117,36758.117,233286.08,306802.3
26036.777,26036.777,195046.44,247120.0
32752.996,32752.996,219837.25,285343.25
48567.785,48567.785,277763.94,374899.5
27153.227,27153.227,199443.12,253749.58
10460.835,10460.835,139006.81,159928.48
10367.306,10367.306,138579.05,159313.66
10810.481,10810.481,140071.67,161692.64
14359.828,14359.828,152421.53,181141.19
75652.42,75652.42,387236.53,538541.4
52439.547,52439.547,299812.56,404691.66
99382.26,99382.26,475044.66,673809.2
167340.27,167340.27,728400.2,1063080.8
35462.918,35462.918,235615.94,306541.78
33774.277,33774.277,229218.9,296767.47
0.12590133,0.12590133,102042.02,102042.27
0.12590133,0.12590133,102042.02,102042.27
0.12590133,0.12590133,102042.02,102042.27
0.12590133,0.12590133,102042.02,102042.27
0.12590133,0.12590133,102042.02,102042.27
0.097395375,0.097395375,102042.04,102042.234
0.12590133,0.12590133,102042.02,102042.27
61001.973,61001.973,320176.97,442180.9
55064.24,55064.24,300080.9,410209.38
44699.547,44699.547,262494.34,351893.44
32679.662,32679.662,219438.98,284798.3
43836.258,43836.258,260590.25,348262.75
67677.305,67677.305,348429.8,483784.44
36028.824,36028.824,231978.67,304036.3
15818.57,15818.57,158400.02,190037.16
15978.57,15978.57,158827.38,190784.52
17072.5,17072.5,162606.03,196751.03
21135.363,21135.363,176732.47,219003.19
103283.37,103283.37,491070.47,697637.2
72398.54,72398.54,374884.78,519681.88
160336.64,160336.64,703053.2,1023726.5
301577.78,301577.78,1228511.0,1831666.5
50308.508,50308.508,291373.88,391990.88
48476.406,48476.406,284421.4,381374.22
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
16369.124,16369.124,163059.5,195797.75
7047.861,7047.861,128314.414,142410.14
6093.693,6093.693,124758.57,136945.95
22111.197,22111.197,184461.97,228684.36
49892.67,49892.67,288019.75,387805.1
16890.04,16890.04,165000.53,198780.61
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
125780.7,125780.7,575706.6,827268.0
90160.766,90160.766,441917.0,622238.5
197983.62,197983.62,844334.0,1240301.2
320827.03,320827.03,1299567.2,1941221.2
60438.715,60438.715,329543.3,450420.75
58621.875,58621.875,322629.12,439872.88
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
0.0,0.0,102042.07,102042.07
84329.23,84329.23,425864.62,594523.06
79358.03,79358.03,406759.53,565475.6
74728.85,74728.85,388966.28,538424.0
71369.36,71369.36,376045.56,518784.28
68026.234,68026.234,363188.62,499241.1
65156.98,65156.98,352149.6,482463.56
62432.4,62432.4,341665.72,466530.5
676014.1,676014.1,2508052.8,3860081.0
703738.0,703738.0,2609784.2,4017260.2
665279.2,665279.2,2470132.8,3800691.0
503952.8,503952.8,1896693.4,2904599.0
438540.88,438540.88,1661007.1,2538089.0
418000.2,418000.2,1585962.1,2421962.5
297300.66,297300.66,1153940.6,1748542.0
204614.16,204614.16,827589.4,1236817.8
182046.81,182046.81,746637.8,1110731.5
164424.19,164424.19,683520.94,1012369.3
165328.5,165328.5,685013.94,1015670.94
159172.75,159172.75,698416.06,1016761.56
129355.09,129355.09,589003.1,847713.3
215291.25,215291.25,907861.25,1338443.8
319996.16,319996.16,1296457.8,1936450.0
119568.98,119568.98,552696.1,791834.06
107369.95,107369.95,506568.38,721308.25
0.14252983,0.14252983,102042.016,102042.3
0.14252983,0.14252983,102042.016,102042.3
0.14252983,0.14252983,102042.016,102042.3
0.14252983,0.14252983,102042.016,102042.3
0.14252983,0.14252983,102042.016,102042.3
0.095019884,0.095019884,102042.04,102042.23
0.12590133,0.12590133,102042.02,102042.27
328631.12,328631.12,1264300.4,1921562.6
263169.06,263169.06,1036298.9,1562637.0
197734.58,197734.58,801892.4,1197361.5
144366.25,144366.25,612562.6,901295.1
147635.39,147635.39,626024.1,921294.9
186640.14,186640.14,769842.1,1143122.4
111636.44,111636.44,497127.88,720400.75
69996.2,69996.2,349000.7,488993.1
65773.25,65773.25,333918.38,465464.88
63953.074,63953.074,327481.3,455387.47
69458.78,69458.78,346346.16,485263.72
136693.55,136693.55,615869.44,889256.5
120727.51,120727.51,557304.7,798759.7
198028.34,198028.34,844675.94,1240732.6
314436.1,314436.1,1276124.1,1904996.2
91726.94,91726.94,447659.53,631113.4
