B1000,B1001,B1002,B1003,B1004,B1005,B1006,B1007,B1008,B1010,B1011,B1012,B1013,B1014
227599.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48384.0,2902.0,80428.0,4537.0
221352.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47244.0,2334.0,77124.0,5213.0
215375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46119.0,2685.0,74066.0,5834.0
1023247.0,308878.0,295389.0,285183.0,295329.0,425413.0,421868.0,368597.0,423679.0,0.0,224392.0,469738.0,264041.0,6365.0
911776.0,285697.0,273486.0,264053.0,273427.0,392201.0,389936.0,339974.0,390136.0,0.0,210849.0,427368.0,236793.0,128288.00000000001
837496.0,271707.0,260183.0,251185.0,260089.99999999997,372575.0,370712.0,322964.0,370487.0,0.0,201546.0,401390.0,218719.0,98383.0
748499.0,250660.0,240274.0,232030.0,240150.0,342255.0,341553.0,297098.0,339966.0,0.0,183052.0,360885.0,196721.0,95818.0
695983.0,240280.0,230243.0,222363.0,230079.0,328036.0,327356.0,284833.0,325888.0,0.0,166017.0,324876.0,183152.0,177863.0
664757.0,234439.0,224563.0,216876.0,224403.0,320928.0,319661.0,278585.0,319062.0,0.0,149140.0,296056.0,174438.0,265881.0
604028.0,220240.0,211105.0,203883.0,210958.0,300725.0,300068.0,261171.0,298736.0,0.0,141066.0,276535.0,159733.0,171384.0
535970.0,202589.0,194487.0,187831.0,194320.0,275057.0,275586.0,239211.0,272777.0,24681.0,135205.0,257588.00000000003,143687.0,0.0
506880.0,195908.0,187985.0,181565.0,187855.0,266183.0,266529.0,231453.0,264086.0,24693.0,125373.0,237816.0,136034.0,0.0
482096.0,189914.0,182223.0,176006.0,182128.0,258402.0,258469.0,224609.0,256433.0,24621.0,116254.0,220640.0,129446.0,0.0
486531.0,190331.0,182392.0,176145.0,182310.0,260200.0,259361.0,225999.0,258639.0,24438.0,106673.0,203786.0,129636.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155210.0,0.0,2204.0,0.0,100202.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137906.0,0.0,2207.0,0.0,81441.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,214334.0,0.0,2211.0,0.0,170585.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289851.0,0.0,2213.0,0.0,258552.00000000003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123218.0,0.0,2708.0,0.0,75514.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120685.0,0.0,2715.0,0.0,74783.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2722.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2728.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2732.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2737.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2740.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2236.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2590.0,0.0,0.0
674210.0,228683.0,218972.0,211378.0,218942.0,313877.0,311950.0,272229.0,312306.0,0.0,149615.0,280012.0,181627.0,0.0
594736.0,210164.0,201524.0,194559.0,201492.0,287001.0,286297.0,249136.0,285081.0,0.0,142851.0,257350.00000000003,162163.0,108529.0
548963.0,200408.0,192189.0,185731.0,192130.0,273021.0,272901.0,237165.0,271319.0,0.0,138622.0,243918.0,150818.0,86508.0
486315.0,183340.0,176059.0,170346.0,175961.0,248206.0,249232.0,215959.0,246243.0,0.0,124672.0,216048.0,134870.0,84541.0
457706.0,177131.0,169880.0,164335.0,169670.0,239547.0,240430.0,208365.0,237444.0,0.0,112279.0,194571.0,126910.0,165183.0
446765.0,174881.0,167784.0,162248.0,167654.0,237847.0,238081.0,206640.0,235660.0,0.0,99668.0,178520.0,123103.0,251518.0
402493.0,163191.0,156704.0,151542.0,156682.0,221040.0,221897.0,192283.0,218749.0,0.0,94384.0,167320.0,112305.0,159167.0
352711.0,148545.0,142992.0,138208.0,142852.0,199482.0,201542.0,174030.0,197079.0,11327.0,93527.0,158065.0,100759.0,0.0
339817.0,144928.0,139410.0,134719.0,139259.0,194750.0,196599.0,169927.0,192616.0,11922.0,87272.0,146710.0,96869.0,0.0
332398.0,142403.0,136946.0,132385.0,136869.0,191932.0,193285.0,167257.0,189911.0,12777.0,82488.0,139363.0,94386.0,0.0
351263.0,145997.0,140142.0,135442.0,140079.0,198169.0,198532.0,172475.0,196558.0,13268.0,76565.0,131499.0,98070.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140420.0,0.0,2159.0,0.0,87953.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128211.00000000001,0.0,2166.0,0.0,73541.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204629.0,0.0,2173.0,0.0,161672.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281314.0,0.0,2181.0,0.0,250902.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117241.0,0.0,2677.0,0.0,71448.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115151.0,0.0,2683.0,0.0,71029.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2680.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2687.0,0.0,0.0
