name,PV_walls_south_E_kWh,PV_walls_north_E_kWh,PV_roofs_top_E_kWh,PV_walls_east_E_kWh,PV_walls_west_E_kWh,E_PV_gen_kWh,radiation_kWh,PV_walls_south_m2,PV_walls_north_m2,PV_roofs_top_m2,PV_walls_east_m2,PV_walls_west_m2,area_PV_m2
B1000,0.00,0.00,109285.03,0.00,0.00,109285.03,855343.28,0.00,0.00,804.46,0.00,0.00,804.46
B1001,0.00,0.00,57851.93,0.00,0.00,57851.93,450385.06,0.00,0.00,416.83,0.00,0.00,416.83
B1002,0.00,0.00,54143.74,0.00,0.00,54143.74,421027.36,0.00,0.00,388.50,0.00,0.00,388.50
B1003,0.00,0.00,51269.24,0.00,0.00,51269.24,399817.13,0.00,0.00,372.87,0.00,0.00,372.87
B1004,0.00,0.00,54442.68,0.00,0.00,54442.68,424368.71,0.00,0.00,388.52,0.00,0.00,388.52
B1005,0.00,0.00,89363.29,0.00,0.00,89363.29,695705.62,0.00,0.00,633.48,0.00,0.00,633.48
B1006,0.00,0.00,81042.42,0.00,0.00,81042.42,632807.08,0.00,0.00,587.16,0.00,0.00,587.16
B1007,0.00,0.00,74308.98,0.00,0.00,74308.98,578125.49,0.00,0.00,532.35,0.00,0.00,532.35
B1008,0.00,0.00,91234.17,0.00,0.00,91234.17,710329.80,0.00,0.00,646.79,0.00,0.00,646.79
B1009,0.00,0.00,65050.97,0.00,0.00,65050.97,506596.33,0.00,0.00,500.51,0.00,0.00,500.51
B1010,0.00,0.00,91875.60,0.00,0.00,91875.60,716227.19,0.00,0.00,692.24,0.00,0.00,692.24
B1011,0.00,0.00,38486.99,0.00,0.00,38486.99,299149.72,0.00,0.00,278.05,0.00,0.00,278.05
B1012,0.00,0.00,193137.18,0.00,0.00,193137.18,1508791.78,0.00,0.00,1465.53,0.00,0.00,1465.53
B1013,0.00,0.00,36516.84,0.00,0.00,36516.84,285842.16,0.00,0.00,267.73,0.00,0.00,267.73
B1014,10006.76,0.00,204279.37,0.00,0.00,214286.69,1813231.85,278.39,0.00,1448.20,0.00,0.00,1726.59
