BUILDING,SURFACE,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly
B1005,srf0,top,0,1,463193.6057969781,15224901.852011755,16,-0,0,1,0.3817929723662843,roofs,5,0,463192.45570000005 15224901.848100001 463194.45570000005 15224901.677624693 463194.45570000005 15224901.954 463192.4648092226 15224901.954
B1005,srf1,top,0,1,463193.5026158457,15224902.93894787,16,-0,0,1,3.809747132938355,roofs,5,0,463192.4648092226 15224901.954 463194.45570000005 15224901.954 463194.45570000005 15224903.954 463192.63684364455 15224903.954
B1005,srf2,top,0,1,463193.5885687864,15224904.93745351,16,-0,0,1,3.465678289067,roofs,5,0,463192.63684364455 15224903.954 463194.45570000005 15224903.954 463194.45570000005 15224905.954 463192.8088780665 15224905.954
B1005,srf3,top,0,1,463193.6745075591,15224906.935629731,16,-0,0,1,3.121609445195645,roofs,5,0,463192.8088780665 15224905.954 463194.45570000005 15224905.954 463194.45570000005 15224907.954 463192.9809124885 15224907.954
B1005,srf4,top,0,1,463193.76042689866,15224908.933354106,16,-0,0,1,2.7775406012078747,roofs,5,0,463192.9809124885 15224907.954 463194.45570000005 15224907.954 463194.45570000005 15224909.954 463193.1529469104 15224909.954
B1005,srf5,top,0,1,463193.84631856217,15224910.930434981,16,-0,0,1,2.4334717572201043,roofs,5,0,463193.1529469104 15224909.954 463194.45570000005 15224909.954 463194.45570000005 15224911.954 463193.3249813324 15224911.954
B1005,srf6,top,0,1,463193.932168877,15224912.926554453,16,-0,0,1,2.0894029133487493,roofs,5,0,463193.3249813324 15224911.954 463194.45570000005 15224911.954 463194.45570000005 15224913.954 463193.49701575434 15224913.954
B1005,srf7,top,0,1,463194.0179533892,15224914.921143936,16,-0,0,1,1.7453340694773942,roofs,5,0,463193.49701575434 15224913.954 463194.45570000005 15224913.954 463194.45570000005 15224915.954 463193.6690501763 15224915.954
B1005,srf8,top,0,1,463194.103623627,15224916.913076406,16,-0,0,1,1.4012652256060392,roofs,5,0,463193.6690501763 15224915.954 463194.45570000005 15224915.954 463194.45570000005 15224917.954 463193.8410845983 15224917.954
B1005,srf9,top,0,1,463194.1890680172,15224918.899757659,16,-0,0,1,1.0571963816182688,roofs,5,0,463193.8410845983 15224917.954 463194.45570000005 15224917.954 463194.45570000005 15224919.954 463194.0131190202 15224919.954
B1005,srf10,top,0,1,463194.2739596596,15224920.873586884,16,-0,0,1,0.7131275377469137,roofs,5,0,463194.0131190202 15224919.954 463194.45570000005 15224919.954 463194.45570000005 15224921.954 463194.18515344214 15224921.954
B1005,srf11,top,0,1,463194.356752595,15224922.798618734,16,-0,0,1,0.36905869375914335,roofs,5,0,463194.18515344214 15224921.954 463194.45570000005 15224921.954 463194.45570000005 15224923.954 463194.35718786414 15224923.954
