BUILDING,SURFACE,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly
B1003,srf0,top,0,1,463119.38375506474,15224834.186388852,16,-0,0,1,0.2052273493801786,roofs,3,0,463118.0832 15224834.241500001 463120.0832 15224834.056467898 463120.0832 15224834.251600001 463118.08414119645 15224834.251600001
B1003,srf1,top,0,1,463119.1295050809,15224835.23530163,16,-0,0,1,3.8117420584894717,roofs,3,0,463118.08414119645 15224834.251600001 463120.0832 15224834.251600001 463120.0832 15224836.251600001 463118.27051674505 15224836.251600001
B1003,srf2,top,0,1,463119.22261054366,15224837.233535055,16,-0,0,1,3.4389909612946212,roofs,3,0,463118.27051674505 15224836.251600001 463120.0832 15224836.251600001 463120.0832 15224838.251600001 463118.4568922936 15224838.251600001
B1003,srf3,top,0,1,463119.3156959937,15224839.231338969,16,-0,0,1,3.066239864216186,roofs,3,0,463118.4568922936 15224838.251600001 463120.0832 15224838.251600001 463120.0832 15224840.251600001 463118.6432678422 15224840.251600001
B1003,srf4,top,0,1,463119.40875312255,15224841.22853505,16,-0,0,1,2.693488767137751,roofs,3,0,463118.6432678422 15224840.251600001 463120.0832 15224840.251600001 463120.0832 15224842.251600001 463118.8296433907 15224842.251600001
B1003,srf5,top,0,1,463119.5017682835,15224843.224830417,16,-0,0,1,2.3207376699429005,roofs,3,0,463118.8296433907 15224842.251600001 463120.0832 15224842.251600001 463120.0832 15224844.251600001 463119.0160189393 15224844.251600001
B1003,srf6,top,0,1,463119.59471738467,15224845.219708003,16,-0,0,1,1.9479865727480503,roofs,3,0,463119.0160189393 15224844.251600001 463120.0832 15224844.251600001 463120.0832 15224846.251600001 463119.20239448786 15224846.251600001
B1003,srf7,top,0,1,463119.6875535304,15224847.212161336,16,-0,0,1,1.5752354757860303,roofs,3,0,463119.20239448786 15224846.251600001 463120.0832 15224846.251600001 463120.0832 15224848.251600001 463119.3887700364 15224848.251600001
B1003,srf8,top,0,1,463119.7801716776,15224849.199935976,16,-0,0,1,1.2024843785911798,roofs,3,0,463119.3887700364 15224848.251600001 463120.0832 15224848.251600001 463120.0832 15224850.251600001 463119.575145585 15224850.251600001
B1003,srf9,top,0,1,463119.8722780239,15224851.176726323,16,-0,0,1,0.8297332813963294,roofs,3,0,463119.575145585 15224850.251600001 463120.0832 15224850.251600001 463120.0832 15224852.251600001 463119.76152113354 15224852.251600001
B1003,srf10,top,0,1,463119.9626201725,15224853.115653383,16,-0,0,1,0.4569821843178943,roofs,3,0,463119.76152113354 15224852.251600001 463120.0832 15224852.251600001 463120.0832 15224854.251600001 463119.94789668213 15224854.251600001
B1003,srf11,top,0,1,463120.03809889406,15224854.735580934,16,-0,0,1,0.09822633898549414,roofs,3,0,463119.94789668213 15224854.251600001 463120.0832 15224854.251600001 463120.0832 15224855.7035428
B1003,srf12,top,0,1,463121.1904097401,15224834.102816613,16,-0,0,1,0.5752963088422687,roofs,3,0,463122.0832 15224833.871435795 463122.0832 15224834.251600001 463120.0832 15224834.251600001 463120.0832 15224834.056467898
B1003,srf13,top,0,1,463121.0832,15224835.251600001,16,-0,0,1,4,roofs,3,0,463120.0832 15224834.251600001 463122.0832 15224834.251600001 463122.0832 15224836.251600001 463120.0832 15224836.251600001
B1003,srf14,top,0,1,463121.0832,15224837.251600001,16,-0,0,1,4,roofs,3,0,463120.0832 15224836.251600001 463122.0832 15224836.251600001 463122.0832 15224838.251600001 463120.0832 15224838.251600001
B1003,srf15,top,0,1,463121.0832,15224839.251600001,16,-0,0,1,4,roofs,3,0,463120.0832 15224838.251600001 463122.0832 15224838.251600001 463122.0832 15224840.251600001 463120.0832 15224840.251600001
B1003,srf16,top,0,1,463121.0832,15224841.251600001,16,-0,0,1,4,roofs,3,0,463120.0832 15224840.251600001 463122.0832 15224840.251600001 463122.0832 15224842.251600001 463120.0832 15224842.251600001
B1003,srf17,top,0,1,463121.0832,15224843.251600001,16,-0,0,1,4,roofs,3,0,463120.0832 15224842.251600001 463122.0832 15224842.251600001 463122.0832 15224844.251600001 463120.0832 15224844.251600001
B1003,srf18,top,0,1,463121.0832,15224845.251600001,16,-0,0,1,4,roofs,3,0,463120.0832 15224844.251600001 463122.0832 15224844.251600001 463122.0832 15224846.251600001 463120.0832 15224846.251600001
B1003,srf19,top,0,1,463121.0832,15224847.251600001,16,-0,0,1,4,roofs,3,0,463120.0832 15224846.251600001 463122.0832 15224846.251600001 463122.0832 15224848.251600001 463120.0832 15224848.251600001
B1003,srf20,top,0,1,463121.0832,15224849.251600001,16,-0,0,1,4,roofs,3,0,463120.0832 15224848.251600001 463122.0832 15224848.251600001 463122.0832 15224850.251600001 463120.0832 15224850.251600001
B1003,srf21,top,0,1,463121.0832,15224851.251600001,16,-0,0,1,4,roofs,3,0,463120.0832 15224850.251600001 463122.0832 15224850.251600001 463122.0832 15224852.251600001 463120.0832 15224852.251600001
B1003,srf22,top,0,1,463121.0832,15224853.251600001,16,-0,0,1,4,roofs,3,0,463120.0832 15224852.251600001 463122.0832 15224852.251600001 463122.0832 15224854.251600001 463120.0832 15224854.251600001
B1003,srf23,top,0,1,463121.08665132447,15224855.248730332,16,-0,0,1,3.9860047481488436,roofs,3,0,463120.0832 15224854.251600001 463122.0832 15224854.251600001 463122.0832 15224856.251600001 463120.1342722307 15224856.251600001 463120.0832 15224855.7035428
B1003,srf24,top,0,1,463121.1545500835,15224857.234861346,16,-0,0,1,3.711479990044609,roofs,3,0,463120.1342722307 15224856.251600001 463122.0832 15224856.251600001 463122.0832 15224858.251600001 463120.32064777927 15224858.251600001
B1003,srf25,top,0,1,463121.24765078403,15224859.232992565,16,-0,0,1,3.3387288928497587,roofs,3,0,463120.32064777927 15224858.251600001 463122.0832 15224858.251600001 463122.0832 15224860.251600001 463120.5070233278 15224860.251600001
B1003,srf26,top,0,1,463121.3407295984,15224861.230654065,16,-0,0,1,2.9659777958877385,roofs,3,0,463120.5070233278 15224860.251600001 463122.0832 15224860.251600001 463122.0832 15224862.251600001 463120.69339887635 15224862.251600001
B1003,srf27,top,0,1,463121.433777089,15224863.22764329,16,-0,0,1,2.593226698692888,roofs,3,0,463120.69339887635 15224862.251600001 463122.0832 15224862.251600001 463122.0832 15224864.251600001 463120.87977442495 15224864.251600001
B1003,srf28,top,0,1,463121.5267774808,15224865.223621678,16,-0,0,1,2.2204756014980376,roofs,3,0,463120.87977442495 15224864.251600001 463122.0832 15224864.251600001 463122.0832 15224866.251600001 463121.0661499735 15224866.251600001
B1003,srf29,top,0,1,463121.5382627364,15224866.346822038,16,-0,0,1,0.18875867987293057,roofs,3,0,463122.0832 15224866.251600001 463122.0832 15224866.392399643 463121.08790000004 15224866.485000001 463121.0661499735 15224866.251600001
B1003,srf30,top,0,1,463123.14844216604,15224834.012241898,16,-0,0,1,0.9453605152735083,roofs,3,0,463124.0832 15224833.686403692 463124.0832 15224834.251600001 463122.0832 15224834.251600001 463122.0832 15224833.871435795
B1003,srf31,top,0,1,463123.0832,15224835.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224834.251600001 463124.0832 15224834.251600001 463124.0832 15224836.251600001 463122.0832 15224836.251600001
B1003,srf32,top,0,1,463123.0832,15224837.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224836.251600001 463124.0832 15224836.251600001 463124.0832 15224838.251600001 463122.0832 15224838.251600001
B1003,srf33,top,0,1,463123.0832,15224839.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224838.251600001 463124.0832 15224838.251600001 463124.0832 15224840.251600001 463122.0832 15224840.251600001
B1003,srf34,top,0,1,463123.0832,15224841.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224840.251600001 463124.0832 15224840.251600001 463124.0832 15224842.251600001 463122.0832 15224842.251600001
B1003,srf35,top,0,1,463123.0832,15224843.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224842.251600001 463124.0832 15224842.251600001 463124.0832 15224844.251600001 463122.0832 15224844.251600001
B1003,srf36,top,0,1,463123.0832,15224845.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224844.251600001 463124.0832 15224844.251600001 463124.0832 15224846.251600001 463122.0832 15224846.251600001
B1003,srf37,top,0,1,463123.0832,15224847.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224846.251600001 463124.0832 15224846.251600001 463124.0832 15224848.251600001 463122.0832 15224848.251600001
B1003,srf38,top,0,1,463123.0832,15224849.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224848.251600001 463124.0832 15224848.251600001 463124.0832 15224850.251600001 463122.0832 15224850.251600001
B1003,srf39,top,0,1,463123.0832,15224851.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224850.251600001 463124.0832 15224850.251600001 463124.0832 15224852.251600001 463122.0832 15224852.251600001
B1003,srf40,top,0,1,463123.0832,15224853.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224852.251600001 463124.0832 15224852.251600001 463124.0832 15224854.251600001 463122.0832 15224854.251600001
B1003,srf41,top,0,1,463123.0832,15224855.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224854.251600001 463124.0832 15224854.251600001 463124.0832 15224856.251600001 463122.0832 15224856.251600001
B1003,srf42,top,0,1,463123.0832,15224857.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224856.251600001 463124.0832 15224856.251600001 463124.0832 15224858.251600001 463122.0832 15224858.251600001
B1003,srf43,top,0,1,463123.0832,15224859.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224858.251600001 463124.0832 15224858.251600001 463124.0832 15224860.251600001 463122.0832 15224860.251600001
B1003,srf44,top,0,1,463123.0832,15224861.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224860.251600001 463124.0832 15224860.251600001 463124.0832 15224862.251600001 463122.0832 15224862.251600001
B1003,srf45,top,0,1,463123.0832,15224863.251600001,16,-0,0,1,4,roofs,3,0,463122.0832 15224862.251600001 463124.0832 15224862.251600001 463124.0832 15224864.251600001 463122.0832 15224864.251600001
B1003,srf46,top,0,1,463123.0808862739,15224865.24887997,16,-0,0,1,3.9889835827052598,roofs,3,0,463122.0832 15224866.251600001 463122.0832 15224864.251600001 463124.0832 15224864.251600001 463124.0832 15224866.206324369 463123.59656218864 15224866.251600001
B1003,srf47,top,0,1,463122.5876540629,15224866.298533214,16,-0,0,1,0.10654042689281441,roofs,3,0,463122.0832 15224866.251600001 463123.59656218864 15224866.251600001 463122.0832 15224866.392399643
B1003,srf48,top,0,1,463125.1300877973,15224833.920574883,16,-0,0,1,1.315424721675644,roofs,3,0,463126.0832 15224833.501371589 463126.0832 15224834.251600001 463124.0832 15224834.251600001 463124.0832 15224833.686403692
B1003,srf49,top,0,1,463125.0832,15224835.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224834.251600001 463126.0832 15224834.251600001 463126.0832 15224836.251600001 463124.0832 15224836.251600001
B1003,srf50,top,0,1,463125.0832,15224837.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224836.251600001 463126.0832 15224836.251600001 463126.0832 15224838.251600001 463124.0832 15224838.251600001
B1003,srf51,top,0,1,463125.0832,15224839.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224838.251600001 463126.0832 15224838.251600001 463126.0832 15224840.251600001 463124.0832 15224840.251600001
B1003,srf52,top,0,1,463125.0832,15224841.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224840.251600001 463126.0832 15224840.251600001 463126.0832 15224842.251600001 463124.0832 15224842.251600001
B1003,srf53,top,0,1,463125.0832,15224843.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224842.251600001 463126.0832 15224842.251600001 463126.0832 15224844.251600001 463124.0832 15224844.251600001
B1003,srf54,top,0,1,463125.0832,15224845.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224844.251600001 463126.0832 15224844.251600001 463126.0832 15224846.251600001 463124.0832 15224846.251600001
B1003,srf55,top,0,1,463125.0832,15224847.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224846.251600001 463126.0832 15224846.251600001 463126.0832 15224848.251600001 463124.0832 15224848.251600001
B1003,srf56,top,0,1,463125.0832,15224849.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224848.251600001 463126.0832 15224848.251600001 463126.0832 15224850.251600001 463124.0832 15224850.251600001
B1003,srf57,top,0,1,463125.0832,15224851.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224850.251600001 463126.0832 15224850.251600001 463126.0832 15224852.251600001 463124.0832 15224852.251600001
B1003,srf58,top,0,1,463125.0832,15224853.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224852.251600001 463126.0832 15224852.251600001 463126.0832 15224854.251600001 463124.0832 15224854.251600001
B1003,srf59,top,0,1,463125.0832,15224855.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224854.251600001 463126.0832 15224854.251600001 463126.0832 15224856.251600001 463124.0832 15224856.251600001
B1003,srf60,top,0,1,463125.0832,15224857.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224856.251600001 463126.0832 15224856.251600001 463126.0832 15224858.251600001 463124.0832 15224858.251600001
B1003,srf61,top,0,1,463125.0832,15224859.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224858.251600001 463126.0832 15224858.251600001 463126.0832 15224860.251600001 463124.0832 15224860.251600001
B1003,srf62,top,0,1,463125.0832,15224861.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224860.251600001 463126.0832 15224860.251600001 463126.0832 15224862.251600001 463124.0832 15224862.251600001
B1003,srf63,top,0,1,463125.0832,15224863.251600001,16,-0,0,1,4,roofs,3,0,463124.0832 15224862.251600001 463126.0832 15224862.251600001 463126.0832 15224864.251600001 463124.0832 15224864.251600001
B1003,srf64,top,0,1,463125.06654169504,15224865.183218291,16,-0,0,1,3.7233734633654105,roofs,3,0,463124.0832 15224864.251600001 463126.0832 15224864.251600001 463126.0832 15224866.020249097 463124.0832 15224866.206324369
B1003,srf65,top,0,1,463127.119793161,15224833.82853504,16,-0,0,1,1.68548892807778,roofs,3,0,463128.0832 15224833.316339485 463128.0832 15224834.251600001 463126.0832 15224834.251600001 463126.0832 15224833.501371589
B1003,srf66,top,0,1,463127.0832,15224835.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224834.251600001 463128.0832 15224834.251600001 463128.0832 15224836.251600001 463126.0832 15224836.251600001
B1003,srf67,top,0,1,463127.0832,15224837.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224836.251600001 463128.0832 15224836.251600001 463128.0832 15224838.251600001 463126.0832 15224838.251600001
B1003,srf68,top,0,1,463127.0832,15224839.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224838.251600001 463128.0832 15224838.251600001 463128.0832 15224840.251600001 463126.0832 15224840.251600001
B1003,srf69,top,0,1,463127.0832,15224841.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224840.251600001 463128.0832 15224840.251600001 463128.0832 15224842.251600001 463126.0832 15224842.251600001
B1003,srf70,top,0,1,463127.0832,15224843.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224842.251600001 463128.0832 15224842.251600001 463128.0832 15224844.251600001 463126.0832 15224844.251600001
B1003,srf71,top,0,1,463127.0832,15224845.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224844.251600001 463128.0832 15224844.251600001 463128.0832 15224846.251600001 463126.0832 15224846.251600001
B1003,srf72,top,0,1,463127.0832,15224847.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224846.251600001 463128.0832 15224846.251600001 463128.0832 15224848.251600001 463126.0832 15224848.251600001
B1003,srf73,top,0,1,463127.0832,15224849.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224848.251600001 463128.0832 15224848.251600001 463128.0832 15224850.251600001 463126.0832 15224850.251600001
B1003,srf74,top,0,1,463127.0832,15224851.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224850.251600001 463128.0832 15224850.251600001 463128.0832 15224852.251600001 463126.0832 15224852.251600001
B1003,srf75,top,0,1,463127.0832,15224853.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224852.251600001 463128.0832 15224852.251600001 463128.0832 15224854.251600001 463126.0832 15224854.251600001
B1003,srf76,top,0,1,463127.0832,15224855.251600001,16,-0,0,1,4,roofs,3,0,463126.0832 15224854.251600001 463128.0832 15224854.251600001 463128.0832 15224856.251600001 463126.0832 15224856.251600001
