Date,roofs_top_kW,walls_east_kW,walls_north_kW,walls_south_kW,walls_west_kW,windows_east_kW,windows_north_kW,windows_south_kW,windows_west_kW,roofs_top_m2,walls_east_m2,walls_north_m2,walls_south_m2,walls_west_m2,windows_east_m2,windows_north_m2,windows_south_m2,windows_west_m2
2009/1/1 0:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 1:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 2:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 3:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 4:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 5:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 6:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 7:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 8:00:00,5.9030000000000005,0.435,2.132,2.114,0.391,0.328,1.608,1.595,0.295,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 9:00:00,102.503,23.789,30.154,92.244,5.582,17.946,22.748,81.76,4.211,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 10:00:00,173.334,24.947,56.674,113.968,10.422,18.82,42.754,79.45700000000001,7.862,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 11:00:00,223.993,26.442,68.621,214.002,12.86,19.947,51.767,100.79,9.702,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 12:00:00,242.832,17.634,74.59700000000001,173.398,13.784,13.303,56.275,140.082,10.399000000000001,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 13:00:00,214.591,13.392,66.431,129.213,13.757,10.103,50.115,131.439,10.39,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 14:00:00,164.304,10.317,51.245000000000005,104.202,11.556000000000001,7.783,38.658,88.318,8.779,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 15:00:00,85.71000000000001,4.766,23.689,89.956,7.886,3.595,17.87,68.279,6.172,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 16:00:00,2.951,0.218,1.066,1.057,0.195,0.164,0.804,0.797,0.147,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 17:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 18:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 19:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 20:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 21:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 22:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/1 23:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 0:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 1:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 2:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 3:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 4:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 5:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 6:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 7:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 8:00:00,10.33,0.762,3.731,3.7,0.684,0.5750000000000001,2.815,2.791,0.516,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 9:00:00,116.601,37.549,31.557000000000002,141.007,5.855,28.326,23.806,127.73,4.417,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 10:00:00,171.153,28.435000000000002,54.274,128.661,9.99,21.451,40.944,88.619,7.5360000000000005,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 11:00:00,217.007,22.881,69.568,170.905,12.951,17.261,52.481,86.563,9.77,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 12:00:00,219.207,15.974,70.339,136.434,12.966000000000001,12.05,53.063,109.143,9.782,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 13:00:00,225.717,13.803,68.577,141.678,14.412,10.413,51.734,146.382,10.886000000000001,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 14:00:00,189.86,11.193,55.926,138.327,13.615,8.444,42.189,119.423,10.366,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 15:00:00,100.875,5.847,29.007,95.401,8.877,4.4110000000000005,21.883,72.388,6.92,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 16:00:00,2.951,0.218,1.066,1.057,0.195,0.164,0.804,0.797,0.147,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 17:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
2009/1/2 18:00:00,0,0,0,0,0,0,0,0,0,1508.897,197.66400000000002,1093.9270000000001,1093.94,197.531,149.115,825.243,825.253,149.01500000000001
