BUILDING,SURFACE,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly
B1000,srf0,top,0,1,463114.15531464067,15224801.542598763,22,0,0,1,1.5565767608746024,roofs,0,0,463115.0961 15224801.049705008 463115.0961 15224801.9427 463113.1670832288 15224801.9427 463113.0961 15224801.254700001
B1000,srf1,top,0,1,463114.18220659095,15224802.923864268,22,0,0,1,3.6516869469778617,roofs,0,0,463113.1670832288 15224801.9427 463115.0961 15224801.9427 463115.0961 15224803.9427 463113.3734298243 15224803.9427
B1000,srf2,top,0,1,463114.28525608405,15224804.921464331,22,0,0,1,3.238993755890988,roofs,0,0,463113.3734298243 15224803.9427 463115.0961 15224803.9427 463115.0961 15224805.9427 463113.57977641985 15224805.9427
B1000,srf3,top,0,1,463114.3882694215,15224806.918363523,22,0,0,1,2.8263005648041144,roofs,0,0,463113.57977641985 15224805.9427 463115.0961 15224805.9427 463115.0961 15224807.9427 463113.7861230154 15224807.9427
B1000,srf4,top,0,1,463114.491228057,15224808.914202325,22,0,0,1,2.413607373717241,roofs,0,0,463113.7861230154 15224807.9427 463115.0961 15224807.9427 463115.0961 15224809.9427 463113.9924696109 15224809.9427
B1000,srf5,top,0,1,463114.59409814334,15224810.908324614,22,0,0,1,2.000914182746783,roofs,0,0,463113.9924696109 15224809.9427 463115.0961 15224809.9427 463115.0961 15224811.9427 463114.1988162064 15224811.9427
B1000,srf6,top,0,1,463114.69681065297,15224812.899392301,22,0,0,1,1.5882209916599095,roofs,0,0,463114.1988162064 15224811.9427 463115.0961 15224811.9427 463115.0961 15224813.9427 463114.40516280197 15224813.9427
B1000,srf7,top,0,1,463114.79919962434,15224814.884188242,22,0,0,1,1.1755278006894514,roofs,0,0,463114.40516280197 15224813.9427 463115.0961 15224813.9427 463115.0961 15224815.9427 463114.61150939745 15224815.9427
B1000,srf8,top,0,1,463114.89430652786,15224816.734905204,22,0,0,1,0.678257682344745,roofs,0,0,463115.0961 15224815.9427 463115.0961 15224817.638453705 463114.7897 15224817.6698 463114.61150939745 15224815.9427
B1000,srf9,top,0,1,463116.1304205324,15224801.443194872,22,0,0,1,1.9909849781316311,roofs,0,0,463117.0961 15224800.844710015 463117.0961 15224801.9427 463115.0961 15224801.9427 463115.0961 15224801.049705008
