BUILDING,SURFACE,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly
B1001,srf0,top,0,1,463123.12552305317,15224875.678441443,16,-0,0,1,3.6311829214145255,roofs,1,0,463122.06450000004 15224874.8472 463124.06450000004 15224874.64545646 463124.06450000004 15224876.644100001 463122.2474379717 15224876.644100001
B1001,srf1,top,0,1,463123.2058656393,15224877.624315271,16,-0,0,1,3.4305089733097702,roofs,1,0,463122.2474379717 15224876.644100001 463124.06450000004 15224876.644100001 463124.06450000004 15224878.644100001 463122.45105305506 15224878.644100001
B1001,srf2,top,0,1,463123.30753752415,15224879.621650303,16,-0,0,1,3.0232788065914065,roofs,1,0,463122.45105305506 15224878.644100001 463124.06450000004 15224878.644100001 463124.06450000004 15224880.644100001 463122.6546681384 15224880.644100001
B1001,srf3,top,0,1,463123.4091671746,15224881.618155647,16,-0,0,1,2.6160486398730427,roofs,1,0,463122.6546681384 15224880.644100001 463124.06450000004 15224880.644100001 463124.06450000004 15224882.644100001 463122.8582832218 15224882.644100001
B1001,srf4,top,0,1,463123.51073123096,15224883.613372399,16,-0,0,1,2.2088184732710943,roofs,1,0,463122.8582832218 15224882.644100001 463124.06450000004 15224882.644100001 463124.06450000004 15224884.644100001 463123.0618983051 15224884.644100001
B1001,srf5,top,0,1,463123.61218521267,15224885.606426748,16,-0,0,1,1.8015883065527305,roofs,1,0,463123.0618983051 15224884.644100001 463124.06450000004 15224884.644100001 463124.06450000004 15224886.644100001 463123.26551338844 15224886.644100001
B1001,srf6,top,0,1,463123.71343267616,15224887.59542406,16,-0,0,1,1.3943581398343667,roofs,1,0,463123.26551338844 15224886.644100001 463124.06450000004 15224886.644100001 463124.06450000004 15224888.644100001 463123.4691284718 15224888.644100001
B1001,srf7,top,0,1,463123.8142180298,15224889.575343268,16,-0,0,1,0.9871279731160029,roofs,1,0,463123.4691284718 15224888.644100001 463124.06450000004 15224888.644100001 463124.06450000004 15224890.644100001 463123.67274355516 15224890.644100001
B1001,srf8,top,0,1,463123.91356773116,15224891.527059216,16,-0,0,1,0.5798978063976392,roofs,1,0,463123.67274355516 15224890.644100001 463124.06450000004 15224890.644100001 463124.06450000004 15224892.644100001 463123.8763586385 15224892.644100001
B1001,srf9,top,0,1,463124.00178621284,15224893.260103356,16,-0,0,1,0.17384356466587297,roofs,1,0,463123.8763586385 15224892.644100001 463124.06450000004 15224892.644100001 463124.06450000004 15224894.492110064
B1001,srf10,top,0,1,463125.4023157826,15224874.577304306,16,-0,0,1,0.19903974745449637,roofs,1,0,463126.06450000004 15224874.443712916 463126.06450000004 15224874.644100001 463124.0779473477 15224874.644100001
B1001,srf11,top,0,1,463125.0645022699,15224875.644102281,16,-0,0,1,3.999990879674442,roofs,1,0,463124.0779473477 15224874.644100001 463126.06450000004 15224874.644100001 463126.06450000004 15224876.644100001 463124.06450000004 15224876.644100001 463124.06450000004 15224874.64545646
B1001,srf12,top,0,1,463125.06450000004,15224877.644100001,16,-0,0,1,4,roofs,1,0,463124.06450000004 15224876.644100001 463126.06450000004 15224876.644100001 463126.06450000004 15224878.644100001 463124.06450000004 15224878.644100001
B1001,srf13,top,0,1,463125.06450000004,15224879.644100001,16,-0,0,1,4,roofs,1,0,463124.06450000004 15224878.644100001 463126.06450000004 15224878.644100001 463126.06450000004 15224880.644100001 463124.06450000004 15224880.644100001
B1001,srf14,top,0,1,463125.06450000004,15224881.644100001,16,-0,0,1,4,roofs,1,0,463124.06450000004 15224880.644100001 463126.06450000004 15224880.644100001 463126.06450000004 15224882.644100001 463124.06450000004 15224882.644100001
B1001,srf15,top,0,1,463125.06450000004,15224883.644100001,16,-0,0,1,4,roofs,1,0,463124.06450000004 15224882.644100001 463126.06450000004 15224882.644100001 463126.06450000004 15224884.644100001 463124.06450000004 15224884.644100001
B1001,srf16,top,0,1,463125.06450000004,15224885.644100001,16,-0,0,1,4,roofs,1,0,463124.06450000004 15224884.644100001 463126.06450000004 15224884.644100001 463126.06450000004 15224886.644100001 463124.06450000004 15224886.644100001
B1001,srf17,top,0,1,463125.06450000004,15224887.644100001,16,-0,0,1,4,roofs,1,0,463124.06450000004 15224886.644100001 463126.06450000004 15224886.644100001 463126.06450000004 15224888.644100001 463124.06450000004 15224888.644100001
B1001,srf18,top,0,1,463125.06450000004,15224889.644100001,16,-0,0,1,4,roofs,1,0,463124.06450000004 15224888.644100001 463126.06450000004 15224888.644100001 463126.06450000004 15224890.644100001 463124.06450000004 15224890.644100001
B1001,srf19,top,0,1,463125.06450000004,15224891.644100001,16,-0,0,1,4,roofs,1,0,463124.06450000004 15224890.644100001 463126.06450000004 15224890.644100001 463126.06450000004 15224892.644100001 463124.06450000004 15224892.644100001
B1001,srf20,top,0,1,463125.064792551,15224893.643820832,16,-0,0,1,3.9988240749808024,roofs,1,0,463124.06450000004 15224892.644100001 463126.06450000004 15224892.644100001 463126.06450000004 15224894.644100001 463124.0799737218 15224894.644100001 463124.06450000004 15224894.492110064
B1001,srf21,top,0,1,463125.12222309556,15224895.626075085,16,-0,0,1,3.7654374730773275,roofs,1,0,463124.0799737218 15224894.644100001 463126.06450000004 15224894.644100001 463126.06450000004 15224896.644100001 463124.2835888052 15224896.644100001
