Date,roofs_top_kW,walls_east_kW,walls_north_kW,walls_south_kW,walls_west_kW,windows_east_kW,windows_north_kW,windows_south_kW,windows_west_kW,roofs_top_m2,walls_east_m2,walls_north_m2,walls_south_m2,walls_west_m2,windows_east_m2,windows_north_m2,windows_south_m2,windows_west_m2
2009/1/1 0:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 1:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 2:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 3:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 4:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 5:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 6:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 7:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 8:00:00,2.721,0.451,0.25,0.259,0.421,0.341,0.188,0.195,0.318,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 9:00:00,46.284,9.135,4.038,3.698,6.396,7.513,3.0460000000000003,2.79,4.825,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 10:00:00,76.405,16.696,7.109,6.924,11.666,13.867,5.363,5.223,8.801,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 11:00:00,92.19200000000001,15.75,8.47,8.472,14.715,11.881,6.390000000000001,6.3790000000000004,11.101,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 12:00:00,126.747,18.29,9.425,9.236,15.383000000000001,13.77,7.11,6.957,11.605,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 13:00:00,105.652,15.025,8.103,9.59,18.661,11.335,6.113,6.183,14.357000000000001,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 14:00:00,75.43,11.506,6.135,9.044,17.786,8.68,4.628,5.605,13.806000000000001,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 15:00:00,38.246,5.8260000000000005,2.817,5.732,11.474,4.3950000000000005,2.125,4.211,10.537,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 16:00:00,1.36,0.226,0.125,0.129,0.21,0.17,0.094,0.098,0.159,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 17:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 18:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 19:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 20:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 21:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 22:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/1 23:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 0:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 1:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 2:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 3:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 4:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 5:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 6:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 7:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 8:00:00,4.7620000000000005,0.79,0.437,0.453,0.737,0.596,0.329,0.342,0.556,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 9:00:00,52.037,11.41,4.493,3.787,6.797,9.699,3.3890000000000002,2.857,5.127,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 10:00:00,74.34400000000001,17.567,6.958,6.634,11.31,14.901,5.249,5.005,8.532,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 11:00:00,92.269,15.596,8.461,8.558,14.577,11.765,6.383,6.447,10.996,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 12:00:00,111.022,16.568,8.699,8.66,14.328000000000001,12.48,6.562,6.526,10.809000000000001,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 13:00:00,111.916,15.637,8.409,10.1,20,11.797,6.344,6.397,15.413,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 14:00:00,87.038,12.86,6.759,11.173,22.961000000000002,9.702,5.099,6.539,17.926000000000002,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 15:00:00,45.221000000000004,6.96,3.444,6.390000000000001,12.562,5.251,2.598,4.708,11.365,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 16:00:00,1.36,0.226,0.125,0.129,0.21,0.17,0.094,0.098,0.159,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 17:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 18:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 19:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 20:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 21:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 22:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/2 23:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 0:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 1:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 2:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 3:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 4:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 5:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 6:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 7:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 8:00:00,4.081,0.677,0.374,0.388,0.631,0.511,0.28200000000000003,0.293,0.47600000000000003,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 9:00:00,53.545,11.818,4.594,3.8320000000000003,6.917,10.084,3.465,2.891,5.218,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 10:00:00,80.805,20.990000000000002,7.605,7.0440000000000005,12.21,18.231,5.737,5.314,9.211,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 11:00:00,90.322,16.244,8.488,8.222,14.975,12.254,6.4030000000000005,6.181,11.297,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 12:00:00,155.611,21.156,10.539,10.027000000000001,16.908,15.913,7.9510000000000005,7.547000000000001,12.755,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 13:00:00,142.216,17.691,9.302,12.422,27.396,13.346,7.017,6.913,21.323,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 14:00:00,90.846,12.893,6.642,12.621,27.141000000000002,9.727,5.011,6.9190000000000005,21.307000000000002,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 15:00:00,45.094,6.964,3.474,6.229,12.16,5.2540000000000004,2.621,4.594,10.936,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 16:00:00,1.36,0.226,0.125,0.129,0.21,0.17,0.094,0.098,0.159,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 17:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 18:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 19:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 20:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 21:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 22:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/3 23:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 0:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 1:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 2:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 3:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 4:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 5:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 6:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 7:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 8:00:00,2.041,0.339,0.187,0.194,0.316,0.255,0.14100000000000001,0.146,0.23800000000000002,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 9:00:00,19.047,3.16,1.747,1.811,2.947,2.384,1.318,1.366,2.223,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 10:00:00,36.733000000000004,6.095,3.369,3.493,5.683,4.598,2.5420000000000003,2.6350000000000002,4.287,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 11:00:00,47.561,7.892,4.362,4.522,7.359,5.953,3.291,3.411,5.551,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 12:00:00,46.257,7.675,4.243,4.399,7.156000000000001,5.79,3.201,3.318,5.398,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 13:00:00,47.619,7.888,4.36,4.526,7.378,5.95,3.289,3.4090000000000003,5.5680000000000005,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 14:00:00,36.053,5.982,3.307,3.428,5.578,4.5120000000000005,2.495,2.586,4.208,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 15:00:00,19.727,3.273,1.809,1.8760000000000001,3.052,2.469,1.365,1.415,2.302,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 16:00:00,2.041,0.339,0.187,0.194,0.316,0.255,0.14100000000000001,0.146,0.23800000000000002,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 17:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 18:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 19:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 20:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 21:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 22:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/4 23:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 0:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 1:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 2:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 3:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 4:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 5:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 6:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 7:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 8:00:00,2.721,0.451,0.25,0.259,0.421,0.341,0.188,0.195,0.318,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 9:00:00,32.567,5.44,2.981,3.077,5.017,4.121,2.249,2.322,3.7840000000000003,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 10:00:00,55.904,9.629,5.136,5.285,8.634,7.376,3.875,3.987,6.513,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 11:00:00,74.676,12.43,6.849,7.07,11.595,9.377,5.167,5.332,8.747,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 12:00:00,74.254,12.078,6.619,6.817,11.120000000000001,9.109,4.993,5.141,8.389,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 13:00:00,65.33,10.616,5.852,6.17,10.304,8.009,4.415,4.563,7.798,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 14:00:00,64.871,10.457,5.716,6.705,11.813,7.889,4.312,4.705,9.025,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 15:00:00,28.559,4.731,2.61,2.741,4.487,3.569,1.969,2.067,3.4090000000000003,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 16:00:00,2.721,0.451,0.25,0.259,0.421,0.341,0.188,0.195,0.318,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 17:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 18:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 19:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 20:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 21:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 22:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/5 23:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 0:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 1:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 2:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 3:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 4:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 5:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 6:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 7:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 8:00:00,3.4010000000000002,0.5640000000000001,0.312,0.323,0.526,0.426,0.23500000000000001,0.244,0.397,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 9:00:00,45.417,8.766,3.96,3.68,6.317,7.157,2.987,2.7760000000000002,4.766,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 10:00:00,76.758,18.42,7.18,6.814,11.646,15.695,5.417,5.14,8.786,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 11:00:00,93.664,15.965,8.597,8.613,14.92,12.044,6.486,6.486,11.255,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 12:00:00,152.368,20.572,10.234,9.725,16.402,15.473,7.72,7.319,12.373000000000001,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 13:00:00,127.559,16.685,8.868,11.258000000000001,23.702,12.587,6.69,6.668,18.37,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 14:00:00,84.518,12.561,6.634,10.565,21.487000000000002,9.476,5.005,6.298,16.747,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 15:00:00,44.721000000000004,7.059,3.6670000000000003,5.458,10.176,5.325,2.766,4.051,8.793000000000001,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 16:00:00,2.041,0.339,0.187,0.194,0.316,0.255,0.14100000000000001,0.146,0.23800000000000002,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 17:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 18:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 19:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 20:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 21:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 22:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/6 23:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 0:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 1:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 2:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 3:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 4:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 5:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 6:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 7:00:00,0,0,0,0,0,0,0,0,0,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 8:00:00,10.884,1.806,0.998,1.035,1.684,1.362,0.753,0.781,1.27,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 9:00:00,52.719,11.347,4.517,3.843,6.862,9.617,3.407,2.899,5.1770000000000005,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 10:00:00,78.264,20.234,7.353,6.819,11.808,17.563,5.547,5.144,8.908,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 11:00:00,99.775,18.830000000000002,9.554,8.922,17.184,14.205,7.207,6.6930000000000005,12.963000000000001,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 12:00:00,158.382,20.571,9.801,8.973,15.286,15.458,7.394,6.746,11.532,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 13:00:00,55.11,9.06,5.003,5.224,8.598,6.835,3.774,3.908,6.495,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 14:00:00,75.99,11.629,6.224,8.891,17.319,8.773,4.695,5.602,13.421000000000001,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
2009/1/7 15:00:00,50.822,7.711,3.797,7.2,14.283,5.817,2.865,5.301,12.978,699.388,276.78000000000003,184.691,184.684,276.87600000000003,208.799,139.328,139.323,208.871
