SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf0,B1002,top,0,1,463126.32,15224918.13,16.00,-0.00,0.00,1,0.20,roofs,2,0,463125.00190000003 15224918.193400001 463127.00190000003 15224918.00059726 463127.00190000003 15224918.1974 463125.0022882218 15224918.1974,1099000.62,0.00,15.33,1.82,-0.00,0.11,5,6,10,roofs_top,srf0
srf1,B1002,top,0,1,463126.05,15224919.18,16.00,-0.00,0.00,1,3.81,roofs,2,0,463125.0022882218 15224918.1974 463127.00190000003 15224918.1974 463127.00190000003 15224920.1974 463125.19639917265 15224920.1974,1098999.38,0.00,15.33,1.82,-0.00,2.03,5,6,10,roofs_top,srf1
srf2,B1002,top,0,1,463126.15,15224921.18,16.00,-0.00,0.00,1,3.42,roofs,2,0,463125.19639917265 15224920.1974 463127.00190000003 15224920.1974 463127.00190000003 15224922.1974 463125.3905101235 15224922.1974,1099147.00,0.00,15.33,1.82,-0.00,1.82,5,6,10,roofs_top,srf2
srf3,B1002,top,0,1,463126.24,15224923.18,16.00,-0.00,0.00,1,3.03,roofs,2,0,463125.3905101235 15224922.1974 463127.00190000003 15224922.1974 463127.00190000003 15224924.1974 463125.5846210744 15224924.1974,1099913.12,0.00,15.33,1.82,-0.00,1.61,5,6,10,roofs_top,srf3
srf4,B1002,top,0,1,463126.34,15224925.17,16.00,-0.00,0.00,1,2.64,roofs,2,0,463125.5846210744 15224924.1974 463127.00190000003 15224924.1974 463127.00190000003 15224926.1974 463125.77873202524 15224926.1974,1099913.12,0.00,15.33,1.82,-0.00,1.41,5,6,10,roofs_top,srf4
srf5,B1002,top,0,1,463126.44,15224927.17,16.00,-0.00,0.00,1,2.25,roofs,2,0,463125.77873202524 15224926.1974 463127.00190000003 15224926.1974 463127.00190000003 15224928.1974 463125.9728429761 15224928.1974,1099913.12,0.00,15.33,1.82,-0.00,1.20,5,6,10,roofs_top,srf5
srf6,B1002,top,0,1,463126.53,15224929.16,16.00,-0.00,0.00,1,1.86,roofs,2,0,463125.9728429761 15224928.1974 463127.00190000003 15224928.1974 463127.00190000003 15224930.1974 463126.16695392696 15224930.1974,1099913.12,0.00,15.33,1.82,-0.00,0.99,5,6,10,roofs_top,srf6
srf7,B1002,top,0,1,463126.63,15224931.15,16.00,-0.00,0.00,1,1.48,roofs,2,0,463126.16695392696 15224930.1974 463127.00190000003 15224930.1974 463127.00190000003 15224932.1974 463126.3610648778 15224932.1974,1099913.12,0.00,15.33,1.82,-0.00,0.79,5,6,10,roofs_top,srf7
srf8,B1002,top,0,1,463126.73,15224933.14,16.00,-0.00,0.00,1,1.09,roofs,2,0,463126.3610648778 15224932.1974 463127.00190000003 15224932.1974 463127.00190000003 15224934.1974 463126.55517582863 15224934.1974,1099913.12,0.00,15.33,1.82,-0.00,0.58,5,6,10,roofs_top,srf8
srf9,B1002,top,0,1,463126.82,15224935.10,16.00,-0.00,0.00,1,0.70,roofs,2,0,463126.55517582863 15224934.1974 463127.00190000003 15224934.1974 463127.00190000003 15224936.1974 463126.7492867795 15224936.1974,1099678.88,0.00,15.33,1.82,-0.00,0.37,5,6,10,roofs_top,srf9
srf10,B1002,top,0,1,463126.91,15224936.99,16.00,-0.00,0.00,1,0.31,roofs,2,0,463126.7492867795 15224936.1974 463127.00190000003 15224936.1974 463127.00190000003 15224938.1974 463126.94339773036 15224938.1974,1094185.62,0.00,15.33,1.82,-0.00,0.17,5,6,10,roofs_top,srf10
srf11,B1002,top,0,1,463126.98,15224938.40,16.00,-0.00,0.00,1,0.02,roofs,2,0,463126.94339773036 15224938.1974 463127.00190000003 15224938.1974 463127.00190000003 15224938.80017145,1094185.62,0.00,15.33,1.82,-0.00,0.01,5,6,10,roofs_top,srf11
srf12,B1002,top,0,1,463128.11,15224918.05,16.00,-0.00,0.00,1,0.59,roofs,2,0,463129.00190000003 15224917.807794522 463129.00190000003 15224918.1974 463127.00190000003 15224918.1974 463127.00190000003 15224918.00059726,1099365.50,0.00,15.33,1.82,-0.00,0.31,5,6,10,roofs_top,srf12
