SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf0,B1013,top,0,1,463224.08,15224804.78,16.00,0.00,0.00,1,2.64,roofs,15,0,463225.02390000003 15224804.0168745 463225.02390000003 15224805.4679 463223.14374131773 15224805.4679 463223.02390000003 15224804.2048,1079453.75,0.00,15.33,3.65,0.00,1.41,5,6,10,roofs_top,srf0
srf1,B1013,top,0,1,463224.13,15224806.45,16.00,0.00,0.00,1,3.57,roofs,15,0,463223.14374131773 15224805.4679 463225.02390000003 15224805.4679 463225.02390000003 15224807.4679 463223.333498768 15224807.4679,1078359.88,0.00,15.33,3.65,0.00,1.90,5,6,10,roofs_top,srf1
srf2,B1013,top,0,1,463224.23,15224808.45,16.00,0.00,0.00,1,3.19,roofs,15,0,463223.333498768 15224807.4679 463225.02390000003 15224807.4679 463225.02390000003 15224809.4679 463223.52325621824 15224809.4679,1075742.62,0.00,15.33,3.65,0.00,1.70,5,6,10,roofs_top,srf2
srf3,B1013,top,0,1,463224.32,15224810.45,16.00,0.00,0.00,1,2.81,roofs,15,0,463223.52325621824 15224809.4679 463225.02390000003 15224809.4679 463225.02390000003 15224811.4679 463223.7130136685 15224811.4679,1075942.75,0.00,15.33,3.65,0.00,1.50,5,6,10,roofs_top,srf3
srf4,B1013,top,0,1,463224.41,15224812.44,16.00,0.00,0.00,1,2.43,roofs,15,0,463223.7130136685 15224811.4679 463225.02390000003 15224811.4679 463225.02390000003 15224813.4679 463223.90277111874 15224813.4679,1081498.38,0.00,15.33,3.65,0.00,1.30,5,6,10,roofs_top,srf4
srf5,B1013,top,0,1,463224.51,15224814.44,16.00,0.00,0.00,1,2.05,roofs,15,0,463223.90277111874 15224813.4679 463225.02390000003 15224813.4679 463225.02390000003 15224815.4679 463224.09252856893 15224815.4679,1081370.12,0.00,15.33,3.65,0.00,1.09,5,6,10,roofs_top,srf5
srf6,B1013,top,0,1,463224.60,15224816.43,16.00,0.00,0.00,1,1.67,roofs,15,0,463224.09252856893 15224815.4679 463225.02390000003 15224815.4679 463225.02390000003 15224817.4679 463224.2822860192 15224817.4679,1079067.25,0.00,15.33,3.65,0.00,0.89,5,6,10,roofs_top,srf6
srf7,B1013,top,0,1,463224.70,15224818.42,16.00,0.00,0.00,1,1.29,roofs,15,0,463224.2822860192 15224817.4679 463225.02390000003 15224817.4679 463225.02390000003 15224819.4679 463224.47204346943 15224819.4679,1077128.62,0.00,15.33,3.65,0.00,0.69,5,6,10,roofs_top,srf7
srf8,B1013,top,0,1,463224.79,15224820.32,16.00,0.00,0.00,1,0.84,roofs,15,0,463225.02390000003 15224819.4679 463225.02390000003 15224821.262518918 463224.6457 15224821.2982 463224.47204346943 15224819.4679,1077460.62,0.00,15.33,3.65,0.00,0.45,5,6,10,roofs_top,srf8
srf9,B1013,top,0,1,463226.04,15224804.69,16.00,0.00,0.00,1,3.09,roofs,15,0,463227.02390000003 15224803.828949 463227.02390000003 15224805.4679 463225.02390000003 15224805.4679 463225.02390000003 15224804.0168745,1082766.25,0.00,15.33,3.65,0.00,1.65,5,6,10,roofs_top,srf9
