SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf0,B1010,top,0,1,463185.49,15225008.81,5.00,0.00,0.00,1,3.63,roofs,11,0,463186.4317 15225007.786811788 463186.4317 15225009.775 463184.6024267922 15225009.775 463184.4317 15225007.975200001,1016197.44,0.00,15.33,3.65,0.00,1.94,5,6,10,roofs_top,srf0
srf1,B1010,top,0,1,463185.56,15225010.76,5.00,0.00,0.00,1,3.47,roofs,11,0,463184.6024267922 15225009.775 463186.4317 15225009.775 463186.4317 15225011.775 463184.79214430775 15225011.775,1019815.31,0.00,15.33,3.65,0.00,1.85,5,6,10,roofs_top,srf1
srf2,B1010,top,0,1,463185.66,15225012.75,5.00,0.00,0.00,1,3.09,roofs,11,0,463184.79214430775 15225011.775 463186.4317 15225011.775 463186.4317 15225013.775 463184.98186182335 15225013.775,1025316.00,0.00,15.33,3.65,0.00,1.65,5,6,10,roofs_top,srf2
srf3,B1010,top,0,1,463185.75,15225014.75,5.00,0.00,0.00,1,2.71,roofs,11,0,463184.98186182335 15225013.775 463186.4317 15225013.775 463186.4317 15225015.775 463185.1715793389 15225015.775,1026793.06,0.00,15.33,3.65,0.00,1.44,5,6,10,roofs_top,srf3
srf4,B1010,top,0,1,463185.85,15225016.75,5.00,0.00,0.00,1,2.33,roofs,11,0,463185.1715793389 15225015.775 463186.4317 15225015.775 463186.4317 15225017.775 463185.3612968545 15225017.775,1030395.19,0.00,15.33,3.65,0.00,1.24,5,6,10,roofs_top,srf4
srf5,B1010,top,0,1,463185.94,15225018.74,5.00,0.00,0.00,1,1.95,roofs,11,0,463185.3612968545 15225017.775 463186.4317 15225017.775 463186.4317 15225019.775 463185.55101437005 15225019.775,1033314.19,0.00,15.33,3.65,0.00,1.04,5,6,10,roofs_top,srf5
srf6,B1010,top,0,1,463186.04,15225020.73,5.00,0.00,0.00,1,1.57,roofs,11,0,463185.55101437005 15225019.775 463186.4317 15225019.775 463186.4317 15225021.775 463185.74073188566 15225021.775,1037031.81,0.00,15.33,3.65,0.00,0.84,5,6,10,roofs_top,srf6
srf7,B1010,top,0,1,463186.13,15225022.72,5.00,0.00,0.00,1,1.19,roofs,11,0,463185.74073188566 15225021.775 463186.4317 15225021.775 463186.4317 15225023.775 463185.9304494012 15225023.775,1039635.06,0.00,15.33,3.65,0.00,0.64,5,6,10,roofs_top,srf7
srf8,B1010,top,0,1,463186.22,15225024.70,5.00,0.00,0.00,1,0.81,roofs,11,0,463185.9304494012 15225023.775 463186.4317 15225023.775 463186.4317 15225025.775 463186.12016691675 15225025.775,1041024.12,0.00,15.33,3.65,0.00,0.43,5,6,10,roofs_top,srf8
srf9,B1010,top,0,1,463186.32,15225026.63,5.00,0.00,0.00,1,0.43,roofs,11,0,463186.12016691675 15225025.775 463186.4317 15225025.775 463186.4317 15225027.775 463186.30988443235 15225027.775,1035040.12,0.00,15.33,3.65,0.00,0.23,5,6,10,roofs_top,srf9
srf10,B1010,top,0,1,463186.39,15225028.20,5.00,0.00,0.00,1,0.08,roofs,11,0,463186.30988443235 15225027.775 463186.4317 15225027.775 463186.4317 15225029.059178399,1035711.12,0.00,15.33,3.65,0.00,0.04,5,6,10,roofs_top,srf10
srf11,B1010,top,0,1,463187.81,15225007.72,5.00,0.00,0.00,1,0.17,roofs,11,0,463188.4317 15225007.598423574 463188.4317 15225007.775 463186.5570983651 15225007.775,1020512.06,0.00,15.33,3.65,0.00,0.09,5,6,10,roofs_top,srf11
srf12,B1010,top,0,1,463187.43,15225008.78,5.00,0.00,0.00,1,4.00,roofs,11,0,463186.5570983651 15225007.775 463188.4317 15225007.775 463188.4317 15225009.775 463186.4317 15225009.775 463186.4317 15225007.786811788,1020087.12,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf12
srf13,B1010,top,0,1,463187.43,15225010.78,5.00,0.00,0.00,1,4.00,roofs,11,0,463186.4317 15225009.775 463188.4317 15225009.775 463188.4317 15225011.775 463186.4317 15225011.775,1032756.25,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf13
srf14,B1010,top,0,1,463187.43,15225012.78,5.00,0.00,0.00,1,4.00,roofs,11,0,463186.4317 15225011.775 463188.4317 15225011.775 463188.4317 15225013.775 463186.4317 15225013.775,1037744.50,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf14
srf15,B1010,top,0,1,463187.43,15225014.78,5.00,0.00,0.00,1,4.00,roofs,11,0,463186.4317 15225013.775 463188.4317 15225013.775 463188.4317 15225015.775 463186.4317 15225015.775,1044929.56,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf15
srf16,B1010,top,0,1,463187.43,15225016.78,5.00,0.00,0.00,1,4.00,roofs,11,0,463186.4317 15225015.775 463188.4317 15225015.775 463188.4317 15225017.775 463186.4317 15225017.775,1051871.00,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf16
srf17,B1010,top,0,1,463187.43,15225018.78,5.00,0.00,0.00,1,4.00,roofs,11,0,463186.4317 15225017.775 463188.4317 15225017.775 463188.4317 15225019.775 463186.4317 15225019.775,1055215.00,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf17
srf18,B1010,top,0,1,463187.43,15225020.78,5.00,0.00,0.00,1,4.00,roofs,11,0,463186.4317 15225019.775 463188.4317 15225019.775 463188.4317 15225021.775 463186.4317 15225021.775,1059837.38,0.00,15.33,3.65,0.00,2.13,5,6,10,roofs_top,srf18
