SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf0,B1006,top,0,1,463151.56,15224837.05,16.00,0.00,-0.00,1,1.48,roofs,6,0,463152.50940000004 15224836.590417435 463152.50940000004 15224837.4317 463150.5699963356 15224837.4317 463150.50940000004 15224836.773500001,1092284.88,0.00,15.33,1.82,0.00,0.79,5,6,10,roofs_top,srf0
srf1,B1006,top,0,1,463151.58,15224838.42,16.00,0.00,-0.00,1,3.69,roofs,6,0,463150.5699963356 15224837.4317 463152.50940000004 15224837.4317 463152.50940000004 15224839.4317 463150.7541237608 15224839.4317,1096004.00,0.00,15.33,1.82,0.00,1.97,5,6,10,roofs_top,srf1
srf2,B1006,top,0,1,463151.68,15224840.41,16.00,0.00,-0.00,1,3.33,roofs,6,0,463150.7541237608 15224839.4317 463152.50940000004 15224839.4317 463152.50940000004 15224841.4317 463150.93825118593 15224841.4317,1096675.00,0.00,15.33,1.82,0.00,1.77,5,6,10,roofs_top,srf2
srf3,B1006,top,0,1,463151.77,15224842.41,16.00,0.00,-0.00,1,2.96,roofs,6,0,463150.93825118593 15224841.4317 463152.50940000004 15224841.4317 463152.50940000004 15224843.4317 463151.1223786111 15224843.4317,1098242.25,0.00,15.33,1.82,0.00,1.58,5,6,10,roofs_top,srf3
srf4,B1006,top,0,1,463151.86,15224844.41,16.00,0.00,-0.00,1,2.59,roofs,6,0,463151.1223786111 15224843.4317 463152.50940000004 15224843.4317 463152.50940000004 15224845.4317 463151.30650603626 15224845.4317,1098242.25,0.00,15.33,1.82,0.00,1.38,5,6,10,roofs_top,srf4
srf5,B1006,top,0,1,463151.95,15224846.40,16.00,0.00,-0.00,1,2.22,roofs,6,0,463151.30650603626 15224845.4317 463152.50940000004 15224845.4317 463152.50940000004 15224847.4317 463151.4906334614 15224847.4317,1098242.25,0.00,15.33,1.82,0.00,1.18,5,6,10,roofs_top,srf5
srf6,B1006,top,0,1,463152.04,15224848.40,16.00,0.00,-0.00,1,1.85,roofs,6,0,463151.4906334614 15224847.4317 463152.50940000004 15224847.4317 463152.50940000004 15224849.4317 463151.6747608866 15224849.4317,1099212.88,0.00,15.33,1.82,0.00,0.99,5,6,10,roofs_top,srf6
srf7,B1006,top,0,1,463152.14,15224850.39,16.00,0.00,-0.00,1,1.49,roofs,6,0,463151.6747608866 15224849.4317 463152.50940000004 15224849.4317 463152.50940000004 15224851.4317 463151.8588883117 15224851.4317,1099216.62,0.00,15.33,1.82,0.00,0.79,5,6,10,roofs_top,srf7
srf8,B1006,top,0,1,463152.23,15224852.38,16.00,0.00,-0.00,1,1.12,roofs,6,0,463151.8588883117 15224851.4317 463152.50940000004 15224851.4317 463152.50940000004 15224853.4317 463152.0430157369 15224853.4317,1099216.62,0.00,15.33,1.82,0.00,0.60,5,6,10,roofs_top,srf8
srf9,B1006,top,0,1,463152.32,15224854.35,16.00,0.00,-0.00,1,0.75,roofs,6,0,463152.0430157369 15224853.4317 463152.50940000004 15224853.4317 463152.50940000004 15224855.4317 463152.22714316205 15224855.4317,1099216.62,0.00,15.33,1.82,0.00,0.40,5,6,10,roofs_top,srf9
srf10,B1006,top,0,1,463152.36,15224855.45,16.00,0.00,-0.00,1,0.01,roofs,6,0,463152.50940000004 15224855.4317 463152.50940000004 15224855.463442978 463152.23240000004 15224855.4888 463152.22714316205 15224855.4317,1099216.62,0.00,15.33,1.82,0.00,0.01,5,6,10,roofs_top,srf10
srf11,B1006,top,0,1,463153.54,15224836.96,16.00,0.00,-0.00,1,1.87,roofs,6,0,463154.50940000004 15224836.407334872 463154.50940000004 15224837.4317 463152.50940000004 15224837.4317 463152.50940000004 15224836.590417435,1092284.88,0.00,15.33,1.82,0.00,0.99,5,6,10,roofs_top,srf11
srf12,B1006,top,0,1,463153.51,15224838.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463152.50940000004 15224837.4317 463154.50940000004 15224837.4317 463154.50940000004 15224839.4317 463152.50940000004 15224839.4317,1096004.00,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf12
srf13,B1006,top,0,1,463153.51,15224840.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463152.50940000004 15224839.4317 463154.50940000004 15224839.4317 463154.50940000004 15224841.4317 463152.50940000004 15224841.4317,1096827.75,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf13
srf14,B1006,top,0,1,463153.51,15224842.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463152.50940000004 15224841.4317 463154.50940000004 15224841.4317 463154.50940000004 15224843.4317 463152.50940000004 15224843.4317,1098102.75,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf14
srf15,B1006,top,0,1,463153.51,15224844.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463152.50940000004 15224843.4317 463154.50940000004 15224843.4317 463154.50940000004 15224845.4317 463152.50940000004 15224845.4317,1098242.25,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf15
srf16,B1006,top,0,1,463153.51,15224846.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463152.50940000004 15224845.4317 463154.50940000004 15224845.4317 463154.50940000004 15224847.4317 463152.50940000004 15224847.4317,1098583.38,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf16
srf17,B1006,top,0,1,463153.51,15224848.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463152.50940000004 15224847.4317 463154.50940000004 15224847.4317 463154.50940000004 15224849.4317 463152.50940000004 15224849.4317,1099216.62,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf17
srf18,B1006,top,0,1,463153.51,15224850.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463152.50940000004 15224849.4317 463154.50940000004 15224849.4317 463154.50940000004 15224851.4317 463152.50940000004 15224851.4317,1099216.62,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf18
srf19,B1006,top,0,1,463153.51,15224852.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463152.50940000004 15224851.4317 463154.50940000004 15224851.4317 463154.50940000004 15224853.4317 463152.50940000004 15224853.4317,1099216.62,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf19
srf20,B1006,top,0,1,463153.49,15224854.40,16.00,0.00,-0.00,1,3.87,roofs,6,0,463152.50940000004 15224855.4317 463152.50940000004 15224853.4317 463154.50940000004 15224853.4317 463154.50940000004 15224855.280359786 463152.85616015043 15224855.4317,1099216.62,0.00,15.33,1.82,0.00,2.07,5,6,10,roofs_top,srf20
srf21,B1006,top,0,1,463152.62,15224855.44,16.00,0.00,-0.00,1,0.01,roofs,6,0,463152.50940000004 15224855.4317 463152.85616015043 15224855.4317 463152.50940000004 15224855.463442978,1099216.62,0.00,15.33,1.82,0.00,0.00,5,6,10,roofs_top,srf21
srf22,B1006,top,0,1,463155.54,15224836.87,16.00,0.00,-0.00,1,2.23,roofs,6,0,463156.50940000004 15224836.224252306 463156.50940000004 15224837.4317 463154.50940000004 15224837.4317 463154.50940000004 15224836.407334872,1092284.88,0.00,15.33,1.82,0.00,1.19,5,6,10,roofs_top,srf22
srf23,B1006,top,0,1,463155.51,15224838.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463154.50940000004 15224837.4317 463156.50940000004 15224837.4317 463156.50940000004 15224839.4317 463154.50940000004 15224839.4317,1096004.00,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf23
srf24,B1006,top,0,1,463155.51,15224840.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463154.50940000004 15224839.4317 463156.50940000004 15224839.4317 463156.50940000004 15224841.4317 463154.50940000004 15224841.4317,1097421.50,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf24
srf25,B1006,top,0,1,463155.51,15224842.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463154.50940000004 15224841.4317 463156.50940000004 15224841.4317 463156.50940000004 15224843.4317 463154.50940000004 15224843.4317,1097594.00,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf25
srf26,B1006,top,0,1,463155.51,15224844.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463154.50940000004 15224843.4317 463156.50940000004 15224843.4317 463156.50940000004 15224845.4317 463154.50940000004 15224845.4317,1098242.25,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf26
srf27,B1006,top,0,1,463155.51,15224846.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463154.50940000004 15224845.4317 463156.50940000004 15224845.4317 463156.50940000004 15224847.4317 463154.50940000004 15224847.4317,1099063.00,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf27
srf28,B1006,top,0,1,463155.51,15224848.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463154.50940000004 15224847.4317 463156.50940000004 15224847.4317 463156.50940000004 15224849.4317 463154.50940000004 15224849.4317,1099216.62,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf28
srf29,B1006,top,0,1,463155.51,15224850.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463154.50940000004 15224849.4317 463156.50940000004 15224849.4317 463156.50940000004 15224851.4317 463154.50940000004 15224851.4317,1099216.62,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf29
srf30,B1006,top,0,1,463155.51,15224852.43,16.00,0.00,-0.00,1,4.00,roofs,6,0,463154.50940000004 15224851.4317 463156.50940000004 15224851.4317 463156.50940000004 15224853.4317 463154.50940000004 15224853.4317,1099216.62,0.00,15.33,1.82,0.00,2.13,5,6,10,roofs_top,srf30
