SURFACE,BUILDING,orientation,intersection,terrain_elevation,Xcoor,Ycoor,Zcoor,Xdir,Ydir,Zdir,AREA_m2,TYPE,phd,srf,poly,total_rad_Whm2,tilt_deg,B_deg,array_spacing_m,surface_azimuth_deg,area_installed_module_m2,CATteta_z,CATB,CATGB,type_orientation,surface
srf17,B1003,top,0,1,463121.08,15224843.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463120.0832 15224842.251600001 463122.0832 15224842.251600001 463122.0832 15224844.251600001 463120.0832 15224844.251600001,1093578.25,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf17
srf18,B1003,top,0,1,463121.08,15224845.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463120.0832 15224844.251600001 463122.0832 15224844.251600001 463122.0832 15224846.251600001 463120.0832 15224846.251600001,1093731.00,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf18
srf19,B1003,top,0,1,463121.08,15224847.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463120.0832 15224846.251600001 463122.0832 15224846.251600001 463122.0832 15224848.251600001 463120.0832 15224848.251600001,1093496.75,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf19
srf20,B1003,top,0,1,463121.08,15224849.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463120.0832 15224848.251600001 463122.0832 15224848.251600001 463122.0832 15224850.251600001 463120.0832 15224850.251600001,1093496.75,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf20
srf21,B1003,top,0,1,463121.08,15224851.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463120.0832 15224850.251600001 463122.0832 15224850.251600001 463122.0832 15224852.251600001 463120.0832 15224852.251600001,1091753.62,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf21
srf22,B1003,top,0,1,463121.08,15224853.25,16.00,-0.00,0.00,1,4.00,roofs,3,0,463120.0832 15224852.251600001 463122.0832 15224852.251600001 463122.0832 15224854.251600001 463120.0832 15224854.251600001,1091105.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf22
srf23,B1003,top,0,1,463121.09,15224855.25,16.00,-0.00,0.00,1,3.99,roofs,3,0,463120.0832 15224854.251600001 463122.0832 15224854.251600001 463122.0832 15224856.251600001 463120.1342722307 15224856.251600001 463120.0832 15224855.7035428,1091105.50,0.00,15.33,1.82,-0.00,2.13,5,6,10,roofs_top,srf23
srf24,B1003,top,0,1,463121.15,15224857.23,16.00,-0.00,0.00,1,3.71,roofs,3,0,463120.1342722307 15224856.251600001 463122.0832 15224856.251600001 463122.0832 15224858.251600001 463120.32064777927 15224858.251600001,1093022.38,0.00,15.33,1.82,-0.00,1.98,5,6,10,roofs_top,srf24
srf25,B1003,top,0,1,463121.25,15224859.23,16.00,-0.00,0.00,1,3.34,roofs,3,0,463120.32064777927 15224858.251600001 463122.0832 15224858.251600001 463122.0832 15224860.251600001 463120.5070233278 15224860.251600001,1093251.50,0.00,15.33,1.82,-0.00,1.78,5,6,10,roofs_top,srf25
srf26,B1003,top,0,1,463121.34,15224861.23,16.00,-0.00,0.00,1,2.97,roofs,3,0,463120.5070233278 15224860.251600001 463122.0832 15224860.251600001 463122.0832 15224862.251600001 463120.69339887635 15224862.251600001,1093940.00,0.00,15.33,1.82,-0.00,1.58,5,6,10,roofs_top,srf26
srf27,B1003,top,0,1,463121.43,15224863.23,16.00,-0.00,0.00,1,2.59,roofs,3,0,463120.69339887635 15224862.251600001 463122.0832 15224862.251600001 463122.0832 15224864.251600001 463120.87977442495 15224864.251600001,1093940.00,0.00,15.33,1.82,-0.00,1.38,5,6,10,roofs_top,srf27
srf28,B1003,top,0,1,463121.53,15224865.22,16.00,-0.00,0.00,1,2.22,roofs,3,0,463120.87977442495 15224864.251600001 463122.0832 15224864.251600001 463122.0832 15224866.251600001 463121.0661499735 15224866.251600001,1091882.25,0.00,15.33,1.82,-0.00,1.18,5,6,10,roofs_top,srf28
