date,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_west_E_kWh,PV_walls_west_m2,E_PV_gen_kWh,radiation_kWh,area_PV_m2
2009-01-01 00:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 01:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 02:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 03:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 04:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 05:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 06:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 07:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 08:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 09:00:00+01:00,0,0,0,0,3.04,278.05,0,0,0,0,3.04,19.94,278.05
2009-01-01 10:00:00+01:00,0,0,0,0,5.40,278.05,0,0,0,0,5.40,36.37,278.05
2009-01-01 11:00:00+01:00,0,0,0,0,7.53,278.05,0,0,0,0,7.53,49.48,278.05
2009-01-01 12:00:00+01:00,0,0,0,0,7.51,278.05,0,0,0,0,7.51,50.68,278.05
2009-01-01 13:00:00+01:00,0,0,0,0,6.12,278.05,0,0,0,0,6.12,42.50,278.05
2009-01-01 14:00:00+01:00,0,0,0,0,4.34,278.05,0,0,0,0,4.34,30.76,278.05
2009-01-01 15:00:00+01:00,0,0,0,0,2.12,278.05,0,0,0,0,2.12,13.27,278.05
2009-01-01 16:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 17:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 18:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 19:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 20:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 21:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 22:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-01 23:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 00:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 01:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 02:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 03:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 04:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 05:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 06:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 07:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 08:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 09:00:00+01:00,0,0,0,0,4.06,278.05,0,0,0,0,4.06,23.31,278.05
2009-01-02 10:00:00+01:00,0,0,0,0,5.78,278.05,0,0,0,0,5.78,37.27,278.05
2009-01-02 11:00:00+01:00,0,0,0,0,6.87,278.05,0,0,0,0,6.87,45.79,278.05
2009-01-02 12:00:00+01:00,0,0,0,0,6.41,278.05,0,0,0,0,6.41,44.43,278.05
2009-01-02 13:00:00+01:00,0,0,0,0,6.70,278.05,0,0,0,0,6.70,45.03,278.05
2009-01-02 14:00:00+01:00,0,0,0,0,5.32,278.05,0,0,0,0,5.32,35.69,278.05
2009-01-02 15:00:00+01:00,0,0,0,0,2.42,278.05,0,0,0,0,2.42,15.62,278.05
2009-01-02 16:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 17:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 18:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 19:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 20:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 21:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 22:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-02 23:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 00:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 01:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 02:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 03:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 04:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 05:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 06:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 07:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 08:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 09:00:00+01:00,0,0,0,0,4.35,278.05,0,0,0,0,4.35,24.10,278.05
2009-01-03 10:00:00+01:00,0,0,0,0,7.27,278.05,0,0,0,0,7.27,43.28,278.05
2009-01-03 11:00:00+01:00,0,0,0,0,10.36,278.05,0,0,0,0,10.36,58.73,278.05
2009-01-03 12:00:00+01:00,0,0,0,0,9.82,278.05,0,0,0,0,9.82,62.14,278.05
2009-01-03 13:00:00+01:00,0,0,0,0,9.27,278.05,0,0,0,0,9.27,57.30,278.05
2009-01-03 14:00:00+01:00,0,0,0,0,5.79,278.05,0,0,0,0,5.79,37.51,278.05
2009-01-03 15:00:00+01:00,0,0,0,0,2.71,278.05,0,0,0,0,2.71,17.80,278.05
2009-01-03 16:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 17:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 18:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 19:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 20:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 21:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 22:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-03 23:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 00:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 01:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 02:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 03:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 04:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 05:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 06:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 07:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 08:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 09:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 10:00:00+01:00,0,0,0,0,2.03,278.05,0,0,0,0,2.03,14.74,278.05
2009-01-04 11:00:00+01:00,0,0,0,0,2.63,278.05,0,0,0,0,2.63,19.11,278.05
2009-01-04 12:00:00+01:00,0,0,0,0,2.55,278.05,0,0,0,0,2.55,18.56,278.05
2009-01-04 13:00:00+01:00,0,0,0,0,2.63,278.05,0,0,0,0,2.63,19.11,278.05
2009-01-04 14:00:00+01:00,0,0,0,0,2.00,278.05,0,0,0,0,2.00,14.47,278.05
2009-01-04 15:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 16:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 17:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 18:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 19:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 20:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 21:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 22:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-04 23:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 00:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 01:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 02:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 03:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 04:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 05:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 06:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 07:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 08:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 09:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 10:00:00+01:00,0,0,0,0,3.15,278.05,0,0,0,0,3.15,22.95,278.05
2009-01-05 11:00:00+01:00,0,0,0,0,4.32,278.05,0,0,0,0,4.32,31.25,278.05
2009-01-05 12:00:00+01:00,0,0,0,0,4.09,278.05,0,0,0,0,4.09,29.78,278.05
2009-01-05 13:00:00+01:00,0,0,0,0,3.60,278.05,0,0,0,0,3.60,26.23,278.05
2009-01-05 14:00:00+01:00,0,0,0,0,3.59,278.05,0,0,0,0,3.59,26.18,278.05
2009-01-05 15:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 16:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 17:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 18:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 19:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 20:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 21:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 22:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-05 23:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 00:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 01:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 02:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 03:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 04:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 05:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 06:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 07:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 08:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 09:00:00+01:00,0,0,0,0,3.00,278.05,0,0,0,0,3.00,19.47,278.05
2009-01-06 10:00:00+01:00,0,0,0,0,6.19,278.05,0,0,0,0,6.19,39.09,278.05
2009-01-06 11:00:00+01:00,0,0,0,0,7.76,278.05,0,0,0,0,7.76,50.09,278.05
2009-01-06 12:00:00+01:00,0,0,0,0,9.77,278.05,0,0,0,0,9.77,60.84,278.05
2009-01-06 13:00:00+01:00,0,0,0,0,7.93,278.05,0,0,0,0,7.93,51.36,278.05
2009-01-06 14:00:00+01:00,0,0,0,0,5.16,278.05,0,0,0,0,5.16,34.61,278.05
2009-01-06 15:00:00+01:00,0,0,0,0,2.61,278.05,0,0,0,0,2.61,17.76,278.05
2009-01-06 16:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
2009-01-06 17:00:00+01:00,0,0,0,0,0.00,278.05,0,0,0,0,0.00,0.00,278.05
