date,PV_walls_south_E_kWh,PV_walls_south_m2,PV_walls_north_E_kWh,PV_walls_north_m2,PV_roofs_top_E_kWh,PV_roofs_top_m2,PV_walls_east_E_kWh,PV_walls_east_m2,PV_walls_west_E_kWh,PV_walls_west_m2,E_PV_gen_kWh,radiation_kWh,area_PV_m2
2009-01-01 00:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
2009-01-01 01:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
2009-01-01 02:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
2009-01-01 03:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
2009-01-01 04:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
2009-01-01 05:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
2009-01-01 06:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
2009-01-01 07:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
2009-01-01 08:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
2009-01-01 09:00:00+01:00,0,0,0,0,0.56,692.24,0,0,0,0,0.56,3.62,692.24
2009-01-01 10:00:00+01:00,0,0,0,0,11.59,692.24,0,0,0,0,11.59,77.93,692.24
2009-01-01 11:00:00+01:00,0,0,0,0,16.62,692.24,0,0,0,0,16.62,108.94,692.24
2009-01-01 12:00:00+01:00,0,0,0,0,16.46,692.24,0,0,0,0,16.46,110.80,692.24
2009-01-01 13:00:00+01:00,0,0,0,0,13.13,692.24,0,0,0,0,13.13,90.91,692.24
2009-01-01 14:00:00+01:00,0,0,0,0,9.23,692.24,0,0,0,0,9.23,65.37,692.24
2009-01-01 15:00:00+01:00,0,0,0,0,0.03,692.24,0,0,0,0,0.03,0.20,692.24
2009-01-01 16:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
2009-01-01 17:00:00+01:00,0,0,0,0,0.00,692.24,0,0,0,0,0.00,0.00,692.24
