mdot_DH_result_kgpers,T_return_DH_result_K,T_supply_DH_result_K,A_hex_heating_design_m2,A_hex_dhw_design_m2,Q_heating_W,Q_dhw_W
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
1.642,320.923,338.000,34.223,0.459,115834.000,1566.000
1.296,319.260,338.000,34.223,0.459,97964.000,3699.000
1.102,317.994,338.000,34.223,0.459,86260.000,6057.000
0.895,316.779,338.000,34.223,0.459,73441.000,6047.000
0.844,316.643,338.000,34.223,0.459,70575.000,4862.000
0.877,317.231,338.000,34.223,0.459,73724.000,2539.000
0.739,316.146,338.000,34.223,0.459,63959.000,3683.000
0.574,314.389,338.000,34.223,0.459,50714.000,6029.000
0.564,314.550,338.000,34.223,0.459,50460.000,4849.000
0.569,314.853,338.000,34.223,0.459,51457.000,3680.000
0.672,316.080,338.000,34.223,0.459,60113.000,1480.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
0.000,273.000,273.000,34.223,0.459,0.000,0.000
1.695,321.102,338.000,34.223,0.459,118196.000,1649.000
1.379,319.628,338.000,34.223,0.459,102282.000,3737.000
1.229,318.634,338.000,34.223,0.459,93433.000,6133.000
1.017,317.501,338.000,34.223,0.459,81077.000,6122.000
0.973,317.432,338.000,34.223,0.459,78890.000,4925.000
0.996,317.907,338.000,34.223,0.459,81206.000,2570.000
0.863,316.951,338.000,34.223,0.459,72313.000,3730.000
0.725,315.605,338.000,34.223,0.459,61901.000,6116.000
