mdot_DH_result_kgpers,T_return_DH_result_K,T_supply_DH_result_K,A_hex_heating_design_m2,A_hex_dhw_design_m2,Q_heating_W,Q_dhw_W
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
2.391,320.071,338.000,57.593,0.790,176976.000,2411.000
1.935,318.553,338.000,57.593,0.790,151212.000,6274.000
1.699,317.457,338.000,57.593,0.790,135703.000,10374.000
1.399,316.343,338.000,57.593,0.790,116433.000,10365.000
1.386,316.496,338.000,57.593,0.790,116430.000,8312.000
1.509,317.349,338.000,57.593,0.790,126207.000,4236.000
1.294,316.341,338.000,57.593,0.790,111047.000,6259.000
0.994,314.512,338.000,57.593,0.790,87390.000,10349.000
1.010,314.840,338.000,57.593,0.790,89534.000,8300.000
1.044,315.260,338.000,57.593,0.790,93144.000,6256.000
1.240,316.551,338.000,57.593,0.790,109047.000,2271.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
2.297,319.828,338.000,57.593,0.790,172135.000,2540.000
1.920,318.508,338.000,57.593,0.790,150353.000,6310.000
1.779,317.722,338.000,57.593,0.790,140521.000,10446.000
1.483,316.667,338.000,57.593,0.790,121971.000,10435.000
1.481,316.854,338.000,57.593,0.790,122667.000,8370.000
1.575,317.571,338.000,57.593,0.790,130344.000,4264.000
1.389,316.708,338.000,57.593,0.790,117473.000,6302.000
1.152,315.275,338.000,57.593,0.790,99173.000,10429.000
1.183,315.644,338.000,57.593,0.790,102299.000,8368.000
1.241,316.120,338.000,57.593,0.790,107372.000,6317.000
1.438,317.288,338.000,57.593,0.790,122412.000,2296.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
8.719,331.930,343.491,57.593,0.790,418347.000,3521.000
8.591,329.636,340.482,57.593,0.790,383590.000,6346.000
8.509,328.020,338.431,57.593,0.790,360223.000,10489.000
7.214,326.687,338.000,57.593,0.790,331068.000,10485.000
6.645,326.228,338.000,57.593,0.790,318949.000,8407.000
6.463,326.182,338.000,57.593,0.790,315375.000,4286.000
5.608,325.214,338.000,57.593,0.790,293732.000,6336.000
4.650,323.839,338.000,57.593,0.790,265116.000,10470.000
4.421,323.595,338.000,57.593,0.790,258130.000,8399.000
4.230,323.398,338.000,57.593,0.790,252137.000,6332.000
4.351,323.755,338.000,57.593,0.790,257062.000,2299.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
6.200,325.977,338.000,57.593,0.790,309380.000,2570.000
5.114,324.621,338.000,57.593,0.790,279967.000,6330.000
4.566,323.719,338.000,57.593,0.790,262433.000,10468.000
3.878,322.643,338.000,57.593,0.790,238768.000,10464.000
3.685,322.410,338.000,57.593,0.790,232039.000,8391.000
3.706,322.649,338.000,57.593,0.790,233803.000,4278.000
3.258,321.729,338.000,57.593,0.790,215577.000,6320.000
2.731,320.366,338.000,57.593,0.790,191092.000,10450.000
2.657,320.323,338.000,57.593,0.790,188219.000,8380.000
2.618,320.361,338.000,57.593,0.790,186966.000,6319.000
2.790,321.000,338.000,57.593,0.790,196240.000,2292.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
4.682,324.207,338.000,57.593,0.790,267666.000,2576.000
3.873,322.830,338.000,57.593,0.790,239526.000,6340.000
3.467,321.907,338.000,57.593,0.790,222988.000,10476.000
2.883,320.710,338.000,57.593,0.790,198096.000,10455.000
2.709,320.444,338.000,57.593,0.790,190683.000,8371.000
2.793,320.884,338.000,57.593,0.790,195796.000,4268.000
2.473,320.012,338.000,57.593,0.790,179875.000,6308.000
2.047,318.568,338.000,57.593,0.790,156075.000,10427.000
2.038,318.696,338.000,57.593,0.790,156265.000,8366.000
2.031,318.833,338.000,57.593,0.790,156605.000,6310.000
2.221,319.652,338.000,57.593,0.790,168255.000,2291.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
3.592,322.537,338.000,57.593,0.790,229864.000,2558.000
2.992,321.191,338.000,57.593,0.790,204158.000,6316.000
2.692,320.276,338.000,57.593,0.790,189265.000,10443.000
2.291,319.260,338.000,57.593,0.790,169264.000,10441.000
2.241,319.270,338.000,57.593,0.790,167313.000,8376.000
2.346,319.830,338.000,57.593,0.790,174096.000,4273.000
2.097,319.022,338.000,57.593,0.790,160251.000,6318.000
1.760,317.659,338.000,57.593,0.790,139375.000,10447.000
1.758,317.826,338.000,57.593,0.790,140024.000,8378.000
1.758,318.002,338.000,57.593,0.790,140849.000,6318.000
1.932,318.864,338.000,57.593,0.790,152491.000,2294.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
0.000,273.000,273.000,57.593,0.790,0.000,0.000
