mdot_DH_result_kgpers,T_return_DH_result_K,T_supply_DH_result_K,A_hex_heating_design_m2,A_hex_dhw_design_m2,Q_heating_W,Q_dhw_W
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
1.782,322.497,338.000,14.049,7.975,76073.000,39558.000
1.470,320.924,338.000,14.049,7.975,68340.000,36694.000
1.929,315.939,338.000,14.049,7.975,68343.000,109764.000
2.420,313.108,338.000,14.049,7.975,69240.000,182839.000
1.170,318.540,338.000,14.049,7.975,58595.000,36696.000
1.135,318.215,338.000,14.049,7.975,57311.000,36696.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
2.084,323.978,338.000,14.049,7.975,82611.000,39719.000
1.733,322.551,338.000,14.049,7.975,75311.000,36709.000
2.438,319.318,338.000,14.049,7.975,80854.000,109780.000
3.159,317.671,338.000,14.049,7.975,85905.000,182853.000
1.396,320.395,338.000,14.049,7.975,66129.000,36711.000
1.362,320.143,338.000,14.049,7.975,65086.000,36712.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
2.311,325.377,338.645,14.049,7.975,88465.000,39874.000
1.958,323.706,338.000,14.049,7.975,80411.000,36711.000
2.744,320.898,338.009,14.049,7.975,86708.000,109782.000
3.201,319.795,340.417,14.049,7.975,93392.000,182857.000
1.546,321.434,338.000,14.049,7.975,70497.000,36713.000
1.513,321.215,338.000,14.049,7.975,69568.000,36715.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.949,298.026,304.243,14.049,7.975,24681.000,0.000
0.949,298.031,304.249,14.049,7.975,24693.000,0.000
0.947,298.001,304.216,14.049,7.975,24621.000,0.000
0.941,297.924,304.132,14.049,7.975,24438.000,0.000
2.406,331.248,346.665,14.049,7.975,111132.000,44078.000
2.335,329.079,343.191,14.049,7.975,101198.000,36708.000
2.771,325.890,344.372,14.049,7.975,104556.000,109778.000
3.196,323.555,345.227,14.049,7.975,107000.000,182851.000
2.275,325.056,338.000,14.049,7.975,86510.000,36708.000
2.136,324.499,338.000,14.049,7.975,83977.000,36708.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.000,273.000,273.000,14.049,7.975,0.000,0.000
0.480,292.024,297.667,14.049,7.975,11327.000,0.000
0.502,292.312,297.985,14.049,7.975,11922.000,0.000
0.534,292.722,298.436,14.049,7.975,12777.000,0.000
0.553,292.955,298.692,14.049,7.975,13268.000,0.000
2.352,328.704,342.973,14.049,7.975,100580.000,39840.000
