mdot_DH_result_kgpers,T_return_DH_result_K,T_supply_DH_result_K,A_hex_heating_design_m2,A_hex_dhw_design_m2,Q_heating_W,Q_dhw_W
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
2.063,320.008,338.000,50.224,0.683,153212.000,2104.000
1.656,318.455,338.000,50.224,0.683,130112.000,5386.000
1.448,317.340,338.000,50.224,0.683,116330.000,8898.000
1.182,316.187,338.000,50.224,0.683,99049.000,8892.000
1.173,316.347,338.000,50.224,0.683,99161.000,7133.000
1.288,317.237,338.000,50.224,0.683,108229.000,3645.000
1.098,316.208,338.000,50.224,0.683,94767.000,5377.000
0.832,314.320,338.000,50.224,0.683,73564.000,8881.000
0.848,314.674,338.000,50.224,0.683,75691.000,7124.000
0.883,315.119,338.000,50.224,0.683,79137.000,5375.000
1.061,316.463,338.000,50.224,0.683,93708.000,1973.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
1.982,319.767,338.000,50.224,0.683,149036.000,2221.000
1.646,318.414,338.000,50.224,0.683,129480.000,5410.000
1.520,317.618,338.000,50.224,0.683,120720.000,8947.000
1.257,316.524,338.000,50.224,0.683,104053.000,8939.000
1.258,316.722,338.000,50.224,0.683,104833.000,7172.000
1.347,317.474,338.000,50.224,0.683,112004.000,3665.000
1.182,316.586,338.000,50.224,0.683,100494.000,5405.000
0.971,315.114,338.000,50.224,0.683,84079.000,8935.000
1.001,315.502,338.000,50.224,0.683,87053.000,7172.000
1.056,316.000,338.000,50.224,0.683,91762.000,5415.000
1.236,317.208,338.000,50.224,0.683,105508.000,1991.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
0.000,273.000,273.000,50.224,0.683,0.000,0.000
